dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000020,0.000000,0.000023,0.002285,0.114247,5.712356,0.000000
0.020000,0.000112,0.000000,0.000114,0.006855,0.228494,5.712356,0.000000
0.020000,0.000317,0.000000,0.000320,0.013710,0.342741,5.712356,0.000000
0.020000,0.000683,0.000000,0.000685,0.022849,0.456989,5.712356,0.000000
0.020000,0.001254,0.000000,0.001257,0.034274,0.571236,5.712356,0.000000
0.020000,0.002077,0.000000,0.002079,0.047984,0.685483,5.712356,0.000000
0.020000,0.003196,0.000000,0.003199,0.063978,0.799730,5.712356,0.000000
0.020000,0.004659,0.000000,0.004661,0.082258,0.913977,5.712356,0.000000
0.020000,0.006510,0.000000,0.006512,0.102822,1.028224,5.712356,0.000000
0.020000,0.008794,0.000000,0.008797,0.125672,1.142471,5.712356,0.000000
0.020000,0.011559,0.000000,0.011562,0.150806,1.256718,5.712356,0.000000
0.020000,0.014850,0.000000,0.014852,0.178226,1.370966,5.712356,0.000000
0.020000,0.018711,0.000000,0.018714,0.207930,1.485213,5.712356,0.000000
0.020000,0.023190,0.000000,0.023192,0.239919,1.599460,5.712356,0.000000
0.020000,0.028331,0.000000,0.028333,0.274193,1.713707,5.712356,0.000000
0.020000,0.034180,0.000000,0.034183,0.310752,1.827954,5.712356,0.000000
0.020000,0.040761,0.000000,0.040763,0.347311,1.827954,0.000000,0.000000
0.020000,0.048073,0.000000,0.048075,0.383870,1.827954,0.000000,0.000000
0.020000,0.056116,0.000000,0.056118,0.420429,1.827954,0.000000,0.000000
0.020000,0.064890,0.000000,0.064892,0.456989,1.827954,0.000000,0.000000
0.020000,0.074395,0.000000,0.074398,0.493548,1.827954,0.000000,0.000000
0.020000,0.084632,0.000000,0.084634,0.530107,1.827954,0.000000,0.000000
0.020000,0.095599,0.000000,0.095602,0.566666,1.827954,-0.000000,0.000000
0.020000,0.107298,0.000000,0.107301,0.603225,1.827954,0.000000,0.000000
0.020000,0.119728,0.000000,0.119731,0.639784,1.827954,0.000000,0.000000
0.020000,0.132890,0.000000,0.132892,0.676343,1.827954,0.000000,0.000000
0.020000,0.146782,0.000000,0.146785,0.712902,1.827954,-0.000000,0.000000
0.020000,0.161406,0.000000,0.161408,0.749461,1.827954,0.000000,0.000000
0.020000,0.176761,0.000000,0.176763,0.786020,1.827954,-0.000000,0.000000
0.020000,0.192847,0.000000,0.192849,0.822579,1.827954,0.000000,0.000000
0.020000,0.209664,0.000000,0.209666,0.859138,1.827954,-0.000000,0.000000
0.020000,0.227212,0.000000,0.227215,0.895697,1.827954,0.000000,0.000000
0.020000,0.245492,0.000000,0.245494,0.932257,1.827954,0.000000,0.000000
0.020000,0.264466,-0.000045,0.264505,0.968816,1.827954,-0.000000,6.274456
0.020000,0.284205,-0.000385,0.284247,1.005375,1.827954,0.000000,6.257396
0.020000,0.304665,-0.001101,0.304720,1.041934,1.827954,0.000000,6.238847
0.020000,0.325838,-0.002253,0.325924,1.078493,1.827954,-0.000000,6.218662
0.020000,0.347711,-0.003906,0.347860,1.115052,1.827954,0.000000,6.196682
0.020000,0.370267,-0.006132,0.370526,1.151611,1.827954,0.000000,6.172731
0.020000,0.393486,-0.009011,0.393924,1.188170,1.827954,0.000000,6.146618
0.020000,0.417341,-0.012633,0.418053,1.224729,1.827954,0.000000,6.118140
0.020000,0.441797,-0.017094,0.442913,1.261288,1.827954,0.000000,6.087082
0.020000,0.466809,-0.022500,0.468505,1.297847,1.827954,-0.000000,6.053228
0.020000,0.492324,-0.028967,0.494827,1.334406,1.827954,0.000000,6.016367
0.020000,0.518272,-0.036616,0.521881,1.370966,1.827954,0.000000,5.976311
0.020000,0.544570,-0.045576,0.549666,1.407525,1.827954,0.000000,5.932910
0.020000,0.571117,-0.055980,0.578182,1.444084,1.827954,-0.000000,5.886086
0.020000,0.597796,-0.067959,0.607429,1.480643,1.827954,0.000000,5.835856
0.020000,0.624467,-0.081639,0.637408,1.517202,1.827954,-0.000000,5.782370
0.020000,0.650977,-0.097133,0.668117,1.553761,1.827954,0.000000,5.725941
0.020000,0.677157,-0.114534,0.699558,1.590320,1.827954,-0.000000,5.667059
0.020000,0.702834,-0.133911,0.731730,1.626879,1.827954,0.000000,5.606396
0.020000,0.727832,-0.155296,0.764633,1.663438,1.827954,-0.000000,5.544772
0.020000,0.751989,-0.178692,0.798268,1.699997,1.827954,0.000000,5.483107
0.020000,0.775161,-0.204063,0.832633,1.736556,1.827954,0.000000,5.422344
0.020000,0.797231,-0.231346,0.867730,1.773115,1.827954,0.000000,5.363373
0.020000,0.818117,-0.260450,0.903558,1.809674,1.827954,-0.000000,5.306963
0.020000,0.837768,-0.291274,0.940117,1.846234,1.827954,0.000000,5.253724
0.020000,0.856169,-0.323703,0.977407,1.882793,1.827954,0.000000,5.204084
0.020000,0.873333,-0.357626,1.015428,1.919352,1.827954,0.000000,5.158304
0.020000,0.889297,-0.392935,1.054181,1.955911,1.827954,-0.000000,5.116500
0.020000,0.904118,-0.429529,1.093665,1.992470,1.827954,0.000000,5.078676
0.020000,0.917867,-0.467319,1.133880,2.029029,1.827954,-0.000000,5.044756
0.020000,0.930621,-0.506202,1.174803,2.063303,1.713707,-5.712356,5.014632
0.020000,0.942460,-0.546066,1.216389,2.095292,1.599460,-5.712356,4.988179
0.020000,0.953473,-0.586806,1.258592,2.124997,1.485213,-5.712356,4.965250
0.020000,0.963756,-0.628325,1.301366,2.152416,1.370966,-5.712356,4.945696
0.020000,0.973411,-0.670534,1.344666,2.177550,1.256718,-5.712356,4.929376
0.020000,0.982542,-0.713350,1.388445,2.200400,1.142471,-5.712356,4.916169
0.020000,0.991258,-0.756696,1.432659,2.220964,1.028224,-5.712356,4.905977
0.020000,0.999669,-0.800498,1.477261,2.239244,0.913977,-5.712356,4.898728
0.020000,1.007889,-0.844684,1.522206,2.255238,0.799730,-5.712356,4.894385
0.020000,1.016034,-0.889187,1.567448,2.268948,0.685483,-5.712356,4.892941
0.020000,1.024226,-0.933937,1.612941,2.280373,0.571236,-5.712356,4.894426
0.020000,1.032588,-0.978864,1.658640,2.289512,0.456989,-5.712356,4.898909
0.020000,1.041251,-1.023897,1.704499,2.296367,0.342741,-5.712356,4.906500
0.020000,1.050351,-1.068960,1.750472,2.300937,0.228494,-5.712356,4.917354
0.020000,1.060031,-1.113971,1.796513,2.303155,0.110918,-5.878832,4.931671
0.020000,1.070436,-1.158819,1.842552,2.300804,-0.117577,-11.424713,4.949692
0.020000,1.081718,-1.203382,1.888522,2.296167,-0.231824,-5.712356,4.971703
0.020000,1.094041,-1.247548,1.934376,2.289246,-0.346071,-5.712356,4.998041
0.020000,1.107577,-1.291188,1.980069,2.280040,-0.460318,-5.712356,5.029086
0.020000,1.122501,-1.334153,2.025555,2.268548,-0.574565,-5.712356,5.065246
0.020000,1.138992,-1.376270,2.070788,2.254772,-0.688812,-5.712356,5.106926
0.020000,1.157222,-1.417336,2.115723,2.238711,-0.803059,-5.712356,5.154484
