dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000020,0.000000,0.000023,0.002278,0.113899,5.694951,0.000000
0.020000,0.000111,0.000000,0.000114,0.006834,0.227798,5.694951,0.000000
0.020000,0.000316,0.000000,0.000319,0.013668,0.341697,5.694951,0.000000
0.020000,0.000681,0.000000,0.000683,0.022780,0.455596,5.694951,0.000000
0.020000,0.001250,0.000000,0.001253,0.034170,0.569495,5.694951,0.000000
0.020000,0.002070,0.000000,0.002073,0.047838,0.683394,5.694951,0.000000
0.020000,0.003187,0.000000,0.003189,0.063783,0.797293,5.694951,0.000000
0.020000,0.004645,0.000000,0.004647,0.082007,0.911192,5.694951,0.000000
0.020000,0.006490,0.000000,0.006492,0.102509,1.025091,5.694951,0.000000
0.020000,0.008768,0.000000,0.008770,0.125289,1.138990,5.694951,0.000000
0.020000,0.011524,0.000000,0.011527,0.150347,1.252889,5.694951,0.000000
0.020000,0.014804,0.000000,0.014807,0.177682,1.366788,5.694951,0.000000
0.020000,0.018654,0.000000,0.018657,0.207296,1.480687,5.694951,0.000000
0.020000,0.023119,0.000000,0.023122,0.239188,1.594586,5.694951,0.000000
0.020000,0.028244,0.000000,0.028247,0.273358,1.708485,5.694951,0.000000
0.020000,0.034076,0.000000,0.034079,0.309805,1.822384,5.694951,0.000000
0.020000,0.040637,0.000000,0.040639,0.346253,1.822384,0.000000,0.000000
0.020000,0.047926,0.000000,0.047929,0.382701,1.822384,0.000000,0.000000
0.020000,0.055945,0.000000,0.055947,0.419148,1.822384,0.000000,0.000000
0.020000,0.064692,0.000000,0.064695,0.455596,1.822384,0.000000,0.000000
0.020000,0.074169,0.000000,0.074171,0.492044,1.822384,0.000000,0.000000
0.020000,0.084374,0.000000,0.084376,0.528491,1.822384,-0.000000,0.000000
0.020000,0.095308,0.000000,0.095311,0.564939,1.822384,0.000000,0.000000
0.020000,0.106971,0.000000,0.106974,0.601387,1.822384,0.000000,0.000000
0.020000,0.119364,0.000000,0.119366,0.637835,1.822384,-0.000000,0.000000
