dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000304,0.060722,12.144463,0.000000
0.005000,0.000000,0.000000,0.000004,0.000911,0.121445,12.144463,0.000000
0.005000,0.000002,0.000000,0.000011,0.001822,0.182167,12.144463,0.000000
0.005000,0.000015,0.000000,0.000023,0.003036,0.242889,12.144463,0.000000
0.005000,0.000034,0.000000,0.000042,0.004554,0.303612,12.144463,0.000000
0.005000,0.000061,0.000000,0.000069,0.006376,0.364334,12.144463,0.000000
0.005000,0.000098,0.000000,0.000106,0.008501,0.425056,12.144463,0.000000
0.005000,0.000147,0.000000,0.000155,0.010930,0.485779,12.144463,0.000000
0.005000,0.000208,0.000000,0.000216,0.013663,0.546501,12.144463,0.000000
0.005000,0.000284,0.000000,0.000292,0.016699,0.607223,12.144463,0.000000
0.005000,0.000376,0.000000,0.000384,0.020038,0.667945,12.144463,0.000000
0.005000,0.000485,0.000000,0.000493,0.023682,0.728668,12.144463,0.000000
0.005000,0.000614,0.000000,0.000622,0.027629,0.789390,12.144463,0.000000
0.005000,0.000762,0.000000,0.000770,0.031879,0.850112,12.144463,0.000000
0.005000,0.000933,0.000000,0.000941,0.036433,0.910835,12.144463,0.000000
0.005000,0.001127,0.000000,0.001136,0.041291,0.971557,12.144463,0.000000
0.005000,0.001347,0.000000,0.001355,0.046453,1.032279,12.144463,0.000000
0.005000,0.001593,0.000000,0.001601,0.051918,1.093002,12.144463,0.000000
0.005000,0.001867,0.000000,0.001875,0.057686,1.153724,12.144463,0.000000
0.005000,0.002170,0.000000,0.002178,0.063758,1.214446,12.144463,0.000000
0.005000,0.002505,0.000000,0.002513,0.070134,1.275169,12.144463,0.000000
0.005000,0.002872,0.000000,0.002881,0.076814,1.335891,12.144463,0.000000
0.005000,0.003274,0.000000,0.003282,0.083797,1.396613,12.144463,0.000000
0.005000,0.003711,0.000000,0.003719,0.091083,1.457336,12.144463,0.000000
0.005000,0.004186,0.000000,0.004194,0.098674,1.518058,12.144463,0.000000
0.005000,0.004699,0.000000,0.004707,0.106568,1.578780,12.144463,0.000000
0.005000,0.005252,0.000000,0.005260,0.114765,1.639502,12.144463,0.000000
0.005000,0.005847,0.000000,0.005855,0.123266,1.700225,12.144463,0.000000
0.005000,0.006485,0.000000,0.006493,0.132071,1.760947,12.144463,0.000000
0.005000,0.007168,0.000000,0.007177,0.141179,1.821669,12.144463,0.000000
0.005000,0.007898,0.000000,0.007906,0.150591,1.882392,12.144463,0.000000
0.005000,0.008675,0.000000,0.008683,0.160307,1.943114,12.144463,0.000000
0.005000,0.009502,0.000000,0.009510,0.170326,2.003836,12.144463,0.000000
0.005000,0.010379,0.000000,0.010387,0.180649,2.064559,12.144463,0.000000
0.005000,0.011309,0.000000,0.011317,0.191275,2.125281,12.144463,0.000000
0.005000,0.012293,0.000000,0.012301,0.202205,2.186003,12.144463,0.000000
0.005000,0.013332,0.000000,0.013340,0.213439,2.246726,12.144463,0.000000
0.005000,0.014428,0.000000,0.014436,0.224976,2.307448,12.144463,0.000000
0.005000,0.015582,0.000000,0.015590,0.236817,2.368170,12.144463,0.000000
0.005000,0.016797,0.000000,0.016805,0.248961,2.428893,12.144463,0.000000
0.005000,0.018073,0.000000,0.018081,0.261410,2.489615,12.144463,0.000000
0.005000,0.019412,0.000000,0.019420,0.274161,2.550337,12.144463,0.000000
0.005000,0.020815,0.000000,0.020823,0.287217,2.611059,12.144463,0.000000
0.005000,0.022285,0.000000,0.022293,0.300575,2.671782,12.144463,0.000000
0.005000,0.023822,0.000000,0.023830,0.314238,2.732504,12.144463,0.000000
0.005000,0.025428,0.000000,0.025436,0.328204,2.793226,12.144463,0.000000
0.005000,0.027104,0.000000,0.027113,0.342474,2.853949,12.144463,0.000000
0.005000,0.028853,0.000000,0.028861,0.357047,2.914671,12.144463,0.000000
0.005000,0.030676,0.000000,0.030684,0.371924,2.975393,12.144463,0.000000
0.005000,0.032573,0.000000,0.032581,0.387105,3.036116,12.144463,0.000000
0.005000,0.034547,0.000000,0.034556,0.402589,3.096838,12.144463,0.000000
0.005000,0.036600,0.000000,0.036608,0.418377,3.157560,12.144463,0.000000
0.005000,0.038732,0.000000,0.038740,0.434468,3.218283,12.144463,0.000000
0.005000,0.040945,0.000000,0.040953,0.450863,3.279005,12.144463,0.000000
0.005000,0.043241,0.000000,0.043249,0.467562,3.339727,12.144463,0.000000
0.005000,0.045622,0.000000,0.045630,0.484564,3.400450,12.144463,0.000000
0.005000,0.048088,0.000000,0.048096,0.501870,3.461172,12.144463,0.000000
0.005000,0.050641,0.000000,0.050649,0.519479,3.521894,12.144463,0.000000
0.005000,0.053283,0.000000,0.053291,0.537392,3.582616,12.144463,0.000000
0.005000,0.056016,0.000000,0.056024,0.555609,3.643339,12.144463,0.000000
0.005000,0.058840,0.000000,0.058848,0.574129,3.704061,12.144463,0.000000
0.005000,0.061758,0.000000,0.061766,0.592953,3.764783,12.144463,0.000000
0.005000,0.064770,0.000000,0.064779,0.612081,3.825506,12.144463,0.000000
0.005000,0.067879,0.000000,0.067888,0.631512,3.886228,12.144463,0.000000
0.005000,0.071086,0.000000,0.071094,0.651247,3.946950,12.144463,0.000000
0.005000,0.074392,0.000000,0.074400,0.670982,3.946950,-0.000000,0.000000
0.005000,0.077796,0.000000,0.077804,0.690716,3.946950,-0.000000,0.000000
0.005000,0.081299,0.000000,0.081307,0.710451,3.946950,0.000000,0.000000
0.005000,0.084901,0.000000,0.084909,0.730186,3.946950,-0.000000,0.000000
