dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000303,0.060576,12.115114,6.283182
0.005000,0.000000,0.000000,0.000004,0.000909,0.121151,12.115114,6.283182
0.005000,0.000000,0.000000,0.000011,0.001817,0.181727,12.115114,6.283183
0.005000,0.000000,0.000000,0.000023,0.003029,0.242302,12.115114,6.283183
0.005000,0.000000,0.000000,0.000042,0.004543,0.302878,12.115114,6.283183
0.005000,0.000000,0.000000,0.000069,0.006360,0.363453,12.115114,6.283184
0.005000,0.000000,0.000000,0.000106,0.008481,0.424029,12.115114,6.283185
0.005000,0.000034,0.000000,0.000154,0.010904,0.484605,12.115114,0.000001
0.005000,0.000095,0.000000,0.000216,0.013630,0.545180,12.115114,0.000002
0.005000,0.000171,0.000000,0.000292,0.016658,0.605756,12.115114,0.000004
0.005000,0.000262,0.000000,0.000383,0.019990,0.666331,12.115114,0.000006
0.005000,0.000371,0.000000,0.000492,0.023624,0.726907,12.115114,0.000009
0.005000,0.000499,0.000000,0.000620,0.027562,0.787482,12.115114,0.000012
0.005000,0.000648,0.000000,0.000769,0.031802,0.848058,12.115114,0.000016
0.005000,0.000818,0.000000,0.000939,0.036345,0.908634,12.115114,0.000020
0.005000,0.001012,0.000000,0.001133,0.041191,0.969209,12.115114,0.000025
0.005000,0.001231,0.000000,0.001352,0.046340,1.029785,12.115114,0.000030
0.005000,0.001476,0.000000,0.001597,0.051792,1.090360,12.115114,0.000036
0.005000,0.001749,0.000000,0.001870,0.057547,1.150936,12.115114,0.000043
0.005000,0.002052,0.000000,0.002173,0.063604,1.211511,12.115114,0.000051
0.005000,0.002386,0.000000,0.002507,0.069965,1.272087,12.115114,0.000059
0.005000,0.002753,0.000000,0.002874,0.076628,1.332662,12.115114,0.000068
0.005000,0.003153,0.000000,0.003274,0.083594,1.393238,12.115114,0.000078
0.005000,0.003589,0.000000,0.003710,0.090863,1.453814,12.115114,0.000089
0.005000,0.004063,0.000000,0.004184,0.098435,1.514389,12.115114,0.000100
0.005000,0.004574,0.000000,0.004695,0.106310,1.574965,12.115114,0.000113
0.005000,0.005126,0.000000,0.005247,0.114488,1.635540,12.115114,0.000127
0.005000,0.005720,0.000000,0.005841,0.122968,1.696116,12.115114,0.000141
0.005000,0.006357,0.000000,0.006478,0.131752,1.756691,12.115114,0.000157
0.005000,0.007038,0.000001,0.007159,0.140838,1.817267,12.115114,0.000174
0.005000,0.007766,0.000001,0.007887,0.150227,1.877843,12.115114,0.000192
0.005000,0.008541,0.000001,0.008662,0.159919,1.938418,12.115114,0.000211
0.005000,0.009366,0.000001,0.009487,0.169914,1.998994,12.115114,0.000231
0.005000,0.010241,0.000001,0.010362,0.180212,2.059569,12.115114,0.000253
0.005000,0.011169,0.000002,0.011290,0.190813,2.120145,12.115114,0.000276
0.005000,0.012150,0.000002,0.012271,0.201717,2.180720,12.115114,0.000300
0.005000,0.013187,0.000002,0.013308,0.212923,2.241296,12.115114,0.000325
0.005000,0.014280,0.000003,0.014401,0.224432,2.301872,12.115114,0.000352
