dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000303,0.060576,12.115114,6.283163
0.005000,0.000000,0.000000,0.000004,0.000909,0.121151,12.115114,6.283164
0.005000,0.000000,0.000000,0.000011,0.001817,0.181727,12.115114,6.283165
0.005000,0.000000,0.000000,0.000023,0.003029,0.242302,12.115114,6.283166
0.005000,0.000000,0.000000,0.000042,0.004543,0.302878,12.115114,6.283169
0.005000,0.000000,0.000000,0.000069,0.006360,0.363453,12.115114,6.283173
0.005000,0.000000,0.000000,0.000106,0.008481,0.424029,12.115114,6.283178
0.005000,0.000000,0.000000,0.000154,0.010904,0.484605,12.115114,6.283185
0.005000,0.000059,0.000000,0.000216,0.013630,0.545180,12.115114,0.000008
0.005000,0.000135,0.000000,0.000292,0.016658,0.605756,12.115114,0.000019
0.005000,0.000226,0.000000,0.000383,0.019990,0.666331,12.115114,0.000032
0.005000,0.000335,0.000000,0.000492,0.023624,0.726907,12.115114,0.000047
0.005000,0.000463,0.000000,0.000620,0.027562,0.787482,12.115114,0.000065
0.005000,0.000612,0.000000,0.000769,0.031802,0.848058,12.115114,0.000086
0.005000,0.000782,0.000000,0.000939,0.036345,0.908634,12.115114,0.000110
0.005000,0.000976,0.000000,0.001133,0.041191,0.969209,12.115114,0.000138
0.005000,0.001195,0.000000,0.001352,0.046340,1.029785,12.115114,0.000169
0.005000,0.001440,0.000000,0.001597,0.051792,1.090360,12.115114,0.000203
0.005000,0.001714,0.000000,0.001870,0.057547,1.150936,12.115114,0.000242
0.005000,0.002016,0.000000,0.002173,0.063604,1.211511,12.115114,0.000285
0.005000,0.002350,0.000000,0.002507,0.069965,1.272087,12.115114,0.000332
0.005000,0.002717,0.000001,0.002874,0.076628,1.332662,12.115114,0.000384
0.005000,0.003117,0.000001,0.003274,0.083594,1.393238,12.115114,0.000440
0.005000,0.003554,0.000001,0.003710,0.090863,1.453814,12.115114,0.000502
0.005000,0.004027,0.000001,0.004184,0.098435,1.514389,12.115114,0.000569
0.005000,0.004539,0.000001,0.004695,0.106310,1.574965,12.115114,0.000641
0.005000,0.005091,0.000002,0.005247,0.114488,1.635540,12.115114,0.000720
0.005000,0.005684,0.000002,0.005841,0.122968,1.696116,12.115114,0.000804
0.005000,0.006321,0.000003,0.006478,0.131752,1.756691,12.115114,0.000894
0.005000,0.007003,0.000003,0.007159,0.140838,1.817267,12.115114,0.000991
0.005000,0.007730,0.000004,0.007887,0.150227,1.877843,12.115114,0.001094
0.005000,0.008506,0.000005,0.008662,0.159919,1.938418,12.115114,0.001204
0.005000,0.009330,0.000006,0.009487,0.169914,1.998994,12.115114,0.001321
0.005000,0.010205,0.000007,0.010362,0.180212,2.059569,12.115114,0.001446
0.005000,0.011133,0.000009,0.011290,0.190813,2.120145,12.115114,0.001578
0.005000,0.012114,0.000010,0.012271,0.201717,2.180720,12.115114,0.001717
0.005000,0.013151,0.000012,0.013308,0.212923,2.241296,12.115114,0.001865
0.005000,0.014244,0.000014,0.014401,0.224432,2.301872,12.115114,0.002021
0.005000,0.015396,0.000017,0.015553,0.236245,2.362447,12.115114,0.002186
0.005000,0.016608,0.000020,0.016764,0.248360,2.423023,12.115114,0.002359
0.005000,0.017880,0.000023,0.018037,0.260778,2.483598,12.115114,0.002541
0.005000,0.019216,0.000026,0.019373,0.273499,2.544174,12.115114,0.002732
0.005000,0.020616,0.000030,0.020773,0.286522,2.604749,12.115114,0.002933
0.005000,0.022082,0.000035,0.022239,0.299849,2.665325,12.115114,0.003144
0.005000,0.023615,0.000040,0.023772,0.313479,2.725901,12.115114,0.003364
0.005000,0.025218,0.000045,0.025374,0.327411,2.786476,12.115114,0.003595
0.005000,0.026890,0.000051,0.027047,0.341646,2.847052,12.115114,0.003836
0.005000,0.028635,0.000058,0.028792,0.356184,2.907627,12.115114,0.004088
0.005000,0.030453,0.000066,0.030610,0.371025,2.968203,12.115114,0.004351
0.005000,0.032346,0.000074,0.032503,0.386169,3.028778,12.115114,0.004625
0.005000,0.034315,0.000084,0.034472,0.401616,3.089354,12.115114,0.004911
0.005000,0.036363,0.000094,0.036519,0.417366,3.149930,12.115114,0.005208
0.005000,0.038490,0.000106,0.038646,0.433418,3.210505,12.115114,0.005518
0.005000,0.040697,0.000118,0.040854,0.449774,3.271081,12.115114,0.005840
0.005000,0.042988,0.000132,0.043145,0.466432,3.331656,12.115114,0.006174
0.005000,0.045362,0.000147,0.045520,0.483393,3.392232,12.115114,0.006522
0.005000,0.047823,0.000163,0.047980,0.500657,3.452807,12.115114,0.006883
0.005000,0.050370,0.000181,0.050527,0.518224,3.513383,12.115114,0.007258
0.005000,0.053005,0.000201,0.053163,0.536094,3.573958,12.115114,0.007646
0.005000,0.055731,0.000223,0.055889,0.554266,3.634534,12.115114,0.008049
0.005000,0.058549,0.000246,0.058706,0.572742,3.695110,12.115114,0.008466
0.005000,0.061459,0.000271,0.061617,0.591520,3.755685,12.115114,0.008898
0.005000,0.064464,0.000298,0.064622,0.610602,3.816261,12.115114,0.009345
0.005000,0.067566,0.000328,0.067723,0.629986,3.876836,12.115114,0.009807
0.005000,0.070765,0.000360,0.070923,0.649673,3.937412,12.115114,0.010286
0.005000,0.074063,0.000395,0.074221,0.669663,3.997987,12.115114,0.010781
0.005000,0.077462,0.000433,0.077620,0.689956,4.058563,12.115114,0.011292
0.005000,0.080963,0.000473,0.081121,0.710551,4.119139,12.115114,0.011820
0.005000,0.084567,0.000517,0.084726,0.731450,4.179714,12.115114,0.012366
0.005000,0.088277,0.000564,0.088437,0.752651,4.240290,12.115114,0.012929
0.005000,0.092094,0.000614,0.092254,0.774156,4.300865,12.115114,0.013510
0.005000,0.096019,0.000668,0.096179,0.795963,4.361441,12.115114,0.014110
0.005000,0.100054,0.000726,0.100214,0.818073,4.422016,12.115114,0.014729
0.005000,0.104200,0.000789,0.104360,0.840486,4.482592,12.115114,0.015367
0.005000,0.108458,0.000856,0.108620,0.863202,4.543168,12.115114,0.016025
0.005000,0.112831,0.000927,0.112993,0.886221,4.603743,12.115114,0.016704
0.005000,0.117320,0.001004,0.117483,0.909542,4.664319,12.115114,0.017403
0.005000,0.121926,0.001086,0.122089,0.933167,4.724894,12.115114,0.018123
0.005000,0.126651,0.001173,0.126815,0.957094,4.785470,12.115114,0.018864
0.005000,0.131496,0.001266,0.131661,0.981324,4.846045,12.115114,0.019628
0.005000,0.136463,0.001366,0.136629,1.005857,4.906621,12.115114,0.020415
0.005000,0.141553,0.001472,0.141720,1.030693,4.967197,12.115114,0.021224
0.005000,0.146768,0.001585,0.146937,1.055832,5.027772,12.115114,0.022057
0.005000,0.152110,0.001705,0.152279,1.081274,5.088348,12.115114,0.022915
0.005000,0.157579,0.001832,0.157750,1.107018,5.148923,12.115114,0.023797
0.005000,0.163178,0.001968,0.163350,1.133066,5.209499,12.115114,0.024705
0.005000,0.168907,0.002112,0.169082,1.159416,5.270074,12.115114,0.025638
0.005000,0.174769,0.002266,0.174945,1.186070,5.330650,12.115114,0.026599
0.005000,0.180764,0.002428,0.180943,1.213026,5.391226,12.115114,0.027586
0.005000,0.186895,0.002600,0.187076,1.240285,5.451801,12.115114,0.028602
0.005000,0.193163,0.002783,0.193347,1.267847,5.512377,12.115114,0.029646
0.005000,0.199569,0.002976,0.199756,1.295711,5.572952,12.115114,0.030719
0.005000,0.206115,0.003181,0.206304,1.323879,5.633528,12.115114,0.031822
0.005000,0.212802,0.003398,0.212995,1.352350,5.694103,12.115114,0.032956
0.005000,0.219631,0.003627,0.219829,1.381123,5.754679,12.115114,0.034122
0.005000,0.226606,0.003869,0.226807,1.410199,5.815254,12.115114,0.035319
0.005000,0.233725,0.004125,0.233931,1.439578,5.875830,12.115114,0.036550
0.005000,0.240992,0.004395,0.241204,1.469260,5.936406,12.115114,0.037815
0.005000,0.248408,0.004681,0.248625,1.499245,5.996981,12.115114,0.039115
0.005000,0.255974,0.004982,0.256197,1.529533,6.057557,12.115114,0.040450
