dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000032,0.000000,0.000047,0.004709,0.235473,11.773633,3.141593
0.020000,-0.000220,0.000000,0.000235,0.014128,0.470945,11.773633,3.141593
0.020000,-0.000644,0.000000,0.000659,0.028257,0.706418,11.773633,3.141593
0.020000,-0.001398,0.000000,0.001413,0.047095,0.941891,11.773633,3.141593
0.020000,-0.002575,0.000000,0.002590,0.070642,1.177363,11.773633,3.141593
0.020000,-0.004270,0.000000,0.004286,0.098899,1.412836,11.773633,3.141593
0.020000,-0.006578,0.000000,0.006593,0.131865,1.648309,11.773633,3.141593
0.020000,-0.009592,0.000000,0.009607,0.169540,1.883781,11.773633,3.141593
0.020000,-0.013407,0.000000,0.013422,0.211925,2.119254,11.773633,3.141593
0.020000,-0.018116,0.000000,0.018131,0.259020,2.354727,11.773633,3.141593
0.020000,-0.023815,0.000000,0.023830,0.310824,2.590199,11.773633,3.141593
0.020000,-0.030596,0.000000,0.030611,0.367337,2.825672,11.773633,3.141593
0.020000,-0.038555,0.000000,0.038570,0.428560,3.061144,11.773633,3.141593
0.020000,-0.047786,0.000000,0.047801,0.494493,3.296617,11.773633,3.141593
0.020000,-0.058382,0.000000,0.058397,0.565134,3.532090,11.773633,3.141593
0.020000,-0.070438,0.000000,0.070453,0.640486,3.767562,11.773633,3.141593
0.020000,-0.084001,0.000000,0.084017,0.715837,3.767562,-0.000000,3.141593
0.020000,-0.099072,0.000000,0.099087,0.791188,3.767562,0.000000,3.141593
0.020000,-0.115649,0.000000,0.115664,0.866539,3.767562,0.000000,3.141593
0.020000,-0.133733,0.000000,0.133748,0.941891,3.767562,-0.000000,3.141593
0.020000,-0.153325,0.000000,0.153340,1.017242,3.767562,0.000000,3.141593
0.020000,-0.174423,0.000000,0.174438,1.092593,3.767562,-0.000000,3.141593
0.020000,-0.197028,0.000000,0.197044,1.167944,3.767562,0.000000,3.141593
0.020000,-0.221141,0.000000,0.221156,1.243296,3.767562,0.000000,3.141593
0.020000,-0.246760,0.000000,0.246775,1.318647,3.767562,0.000000,3.141593
0.020000,-0.273839,0.000000,0.273855,1.389289,3.532090,-11.773633,3.141593
0.020000,-0.302285,0.000000,0.302300,1.455221,3.296617,-11.773633,3.141593
0.020000,-0.332001,0.000000,0.332016,1.516444,3.061144,-11.773633,3.141593
0.020000,-0.362895,0.000000,0.362910,1.572957,2.825672,-11.773633,3.141593
0.020000,-0.394872,0.000000,0.394888,1.624761,2.590199,-11.773633,3.141593
0.020000,-0.427839,0.000000,0.427854,1.671856,2.354727,-11.773633,3.141593
0.020000,-0.461700,0.000000,0.461715,1.714241,2.119254,-11.773633,3.141593
0.020000,-0.496361,0.000000,0.496376,1.751917,1.883781,-11.773633,3.141593
0.020000,-0.531729,0.000000,0.531744,1.784883,1.648309,-11.773633,3.141593
0.020000,-0.567709,0.000000,0.567725,1.813139,1.412836,-11.773633,3.141593
0.020000,-0.604208,0.000000,0.604223,1.836687,1.177363,-11.773633,3.141593
0.020000,-0.641130,0.000000,0.641145,1.855525,0.941891,-11.773633,3.141593
0.020000,-0.678381,0.000000,0.678397,1.869653,0.706418,-11.773633,3.141593
0.020000,-0.715869,0.000000,0.715884,1.879072,0.470945,-11.773633,3.141593
0.020000,-0.753497,0.000000,0.753512,1.883781,0.235473,-11.773633,3.141593
0.020000,-0.791147,0.000000,0.791162,1.881196,-0.129284,-18.237810,3.141593
0.020000,-0.828698,0.000000,0.828713,1.873900,-0.364756,-11.773633,3.141593
0.020000,-0.866056,0.000000,0.866071,1.861896,-0.600229,-11.773633,3.141593
0.020000,-0.903127,0.000000,0.903142,1.845182,-0.835702,-11.773633,3.141593
0.020000,-0.939816,0.000000,0.939831,1.823758,-1.071174,-11.773633,3.141593
0.020000,-0.976030,0.000000,0.976045,1.797625,-1.306647,-11.773633,3.141593
0.020000,-1.011674,0.000000,1.011689,1.766783,-1.542119,-11.773633,3.141593
0.020000,-1.046654,0.000000,1.046669,1.731231,-1.777592,-11.773633,3.141593
0.020000,-1.080876,0.000000,1.080891,1.690970,-2.013065,-11.773633,3.141593
0.020000,-1.114246,0.000000,1.114261,1.645999,-2.248537,-11.773633,3.141593
0.020000,-1.146669,0.000000,1.146684,1.596319,-2.484010,-11.773633,3.141593
0.020000,-1.178052,0.000000,1.178067,1.541929,-2.719483,-11.773633,3.141593
0.020000,-1.208299,0.000000,1.208314,1.482830,-2.954955,-11.773633,3.141593
0.020000,-1.237318,0.000000,1.237333,1.419022,-3.190428,-11.773633,3.141593
0.020000,-1.265013,0.000000,1.265028,1.350504,-3.425901,-11.773633,3.141593
0.020000,-1.291291,0.000000,1.291306,1.277276,-3.661373,-11.773633,3.141593
0.020000,-1.316083,0.000000,1.316098,1.201925,-3.767562,-5.309455,3.141593
0.020000,-1.339368,0.000000,1.339383,1.126574,-3.767562,0.000000,3.141593
0.020000,-1.361146,0.000000,1.361161,1.051222,-3.767562,-0.000000,3.141593
0.020000,-1.381417,0.000000,1.381432,0.975871,-3.767562,-0.000000,3.141593
0.020000,-1.400181,0.000000,1.400196,0.900520,-3.767562,0.000000,3.141593
0.020000,-1.417437,0.000000,1.417453,0.825169,-3.767562,0.000000,3.141593
0.020000,-1.433187,0.000000,1.433202,0.749817,-3.767562,-0.000000,3.141593
0.020000,-1.447430,0.000000,1.447445,0.674466,-3.767562,0.000000,3.141593
0.020000,-1.460166,0.000000,1.460181,0.599115,-3.767562,0.000000,3.141593
0.020000,-1.471421,0.000000,1.471436,0.526349,-3.638279,6.464177,3.141593
0.020000,-1.481267,0.000000,1.481282,0.458293,-3.402806,11.773633,3.141593
0.020000,-1.489799,0.000000,1.489815,0.394947,-3.167334,11.773633,3.141593
0.020000,-1.497112,0.000000,1.497127,0.336309,-2.931861,11.773633,3.141593
0.020000,-1.503299,0.000000,1.503314,0.282382,-2.696388,11.773633,3.141593
0.020000,-1.508454,0.000000,1.508470,0.233163,-2.460916,11.773633,3.141593
0.020000,-1.512672,0.000000,1.512688,0.188654,-2.225443,11.773633,3.141593
0.020000,-1.516048,0.000000,1.516063,0.148855,-1.989970,11.773633,3.141593
0.020000,-1.518674,0.000000,1.518689,0.113765,-1.754498,11.773633,3.141593
0.020000,-1.520645,0.000000,1.520660,0.083384,-1.519025,11.773633,3.141593
0.020000,-1.522056,0.000000,1.522071,0.057713,-1.283552,11.773633,3.141593
0.020000,-1.523001,0.000000,1.523016,0.036752,-1.048080,11.773633,3.141593
0.020000,-1.523573,0.000000,1.523589,0.020500,-0.812607,11.773633,3.141593
0.020000,-1.523868,0.000000,1.523883,0.008957,-0.577134,11.773633,3.141593
0.020000,-1.523979,0.000000,1.523994,0.002124,-0.341662,11.773633,3.141593
0.020000,-1.524000,0.000000,1.524015,0.000000,-0.106189,11.773633,3.141593
0.020000,-1.524000,0.000000,1.524015,0.000000,0.000000,5.309455,3.141593
