dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000023,0.002281,0.114032,5.701585,0.000000
0.020000,0.000071,0.000000,0.000114,0.006842,0.228063,5.701585,0.000000
0.020000,0.000276,0.000000,0.000319,0.013684,0.342095,5.701585,0.000000
0.020000,0.000641,0.000000,0.000684,0.022806,0.456127,5.701585,0.000000
0.020000,0.001211,0.000000,0.001254,0.034210,0.570158,5.701585,0.000000
0.020000,0.002032,0.000000,0.002075,0.047893,0.684190,5.701585,0.000000
0.020000,0.003150,0.000000,0.003193,0.063858,0.798222,5.701585,0.000000
0.020000,0.004609,0.000000,0.004652,0.082103,0.912254,5.701585,0.000000
0.020000,0.006457,0.000000,0.006500,0.102629,1.026285,5.701585,0.000000
0.020000,0.008737,0.000000,0.008780,0.125435,1.140317,5.701585,0.000000
0.020000,0.011497,0.000000,0.011540,0.150522,1.254349,5.701585,0.000000
0.020000,0.014781,0.000000,0.014824,0.177889,1.368380,5.701585,0.000000
0.020000,0.018635,0.000000,0.018678,0.207538,1.482412,5.701585,0.000000
0.020000,0.023105,0.000000,0.023148,0.239467,1.596444,5.701585,0.000000
0.020000,0.028237,0.000000,0.028280,0.273676,1.710475,5.701585,0.000000
0.020000,0.034075,0.000000,0.034118,0.310166,1.824507,5.701585,0.000000
0.020000,0.040643,0.000000,0.040687,0.346656,1.824507,-0.000000,0.000000
0.020000,0.047941,0.000000,0.047985,0.383146,1.824507,0.000000,0.000000
0.020000,0.055969,0.000000,0.056012,0.419637,1.824507,0.000000,0.000000
0.020000,0.064727,0.000000,0.064770,0.456127,1.824507,-0.000000,0.000000
0.020000,0.074214,0.000000,0.074257,0.492617,1.824507,0.000000,0.000000
0.020000,0.084431,0.000000,0.084475,0.529107,1.824507,0.000000,0.000000
0.020000,0.095379,0.000000,0.095422,0.565597,1.824507,-0.000000,0.000000
0.020000,0.107055,0.000000,0.107099,0.602087,1.824507,0.000000,0.000000
0.020000,0.119462,0.000000,0.119505,0.638577,1.824507,-0.000000,0.000000
0.020000,0.132598,0.000000,0.132642,0.675068,1.824507,0.000000,0.000000
0.020000,0.146465,0.000000,0.146508,0.711558,1.824507,0.000000,0.000000
0.020000,0.161061,0.000000,0.161104,0.748048,1.824507,-0.000000,0.000000
0.020000,0.176387,0.000000,0.176430,0.784538,1.824507,-0.000000,0.000000
0.020000,0.192442,0.000000,0.192485,0.821028,1.824507,0.000000,0.000000
0.020000,0.209228,0.000000,0.209271,0.857518,1.824507,-0.000000,0.000000
0.020000,0.226743,0.000000,0.226786,0.894008,1.824507,0.000000,0.000000
0.020000,0.244988,0.000000,0.245031,0.930499,1.824507,0.000000,0.000000
0.020000,0.263963,0.000000,0.264006,0.966989,1.824507,-0.000000,0.000000
0.020000,0.283668,0.000000,0.283711,1.003479,1.824507,-0.000000,0.000000
0.020000,0.304102,0.000000,0.304145,1.039969,1.824507,0.000000,0.000000
0.020000,0.325266,0.000000,0.325310,1.076459,1.824507,-0.000000,0.000000
0.020000,0.347161,0.000000,0.347204,1.112949,1.824507,-0.000000,0.000000
0.020000,0.369784,0.000000,0.369828,1.149439,1.824507,0.000000,0.000000
0.020000,0.393138,0.000000,0.393181,1.185930,1.824507,-0.000000,0.000000
0.020000,0.417222,0.000000,0.417265,1.222420,1.824507,0.000000,0.000000
0.020000,0.442035,0.000000,0.442078,1.258910,1.824507,0.000000,0.000000
0.020000,0.467578,0.000000,0.467621,1.295400,1.824507,0.000000,0.000000
0.020000,0.493851,0.000000,0.493894,1.331890,1.824507,0.000000,0.000000
0.020000,0.520854,0.000000,0.520897,1.368380,1.824507,0.000000,0.000000
0.020000,0.548586,0.000000,0.548629,1.404870,1.824507,0.000000,0.000000
0.020000,0.577048,0.000000,0.577092,1.441361,1.824507,-0.000000,0.000000
0.020000,0.606241,0.000000,0.606284,1.477851,1.824507,0.000000,0.000000
0.020000,0.636162,0.000000,0.636206,1.514341,1.824507,-0.000000,0.000000
0.020000,0.666814,0.000000,0.666857,1.550831,1.824507,0.000000,0.000000
0.020000,0.698196,0.000000,0.698239,1.587321,1.824507,0.000000,0.000000
0.020000,0.730307,0.000000,0.730350,1.623811,1.824507,0.000000,0.000000
0.020000,0.763148,0.000000,0.763191,1.660301,1.824507,-0.000000,0.000000
0.020000,0.796719,0.000000,0.796762,1.696792,1.824507,0.000000,0.000000
0.020000,0.831020,0.000000,0.831063,1.733282,1.824507,0.000000,0.000000
0.020000,0.866050,0.000000,0.866093,1.769772,1.824507,0.000000,0.000000
0.020000,0.901811,0.000000,0.901854,1.806262,1.824507,0.000000,0.000000
0.020000,0.938301,0.000000,0.938344,1.842752,1.824507,0.000000,0.000000
0.020000,0.975521,0.000000,0.975564,1.879242,1.824507,-0.000000,0.000000
0.020000,1.013470,0.000000,1.013514,1.915732,1.824507,0.000000,0.000000
0.020000,1.052150,0.000000,1.052193,1.952223,1.824507,-0.000000,0.000000
0.020000,1.091559,0.000000,1.091603,1.988713,1.824507,0.000000,0.000000
0.020000,1.131699,0.000000,1.131742,2.025203,1.824507,0.000000,0.000000
0.020000,1.172567,0.000000,1.172611,2.061693,1.824507,0.000000,0.000000
0.020000,1.214166,0.000000,1.214209,2.098183,1.824507,-0.000000,0.000000
0.020000,1.256495,0.000000,1.256538,2.134673,1.824507,0.000000,0.000000
0.020000,1.299553,0.000000,1.299596,2.171163,1.824507,-0.000000,0.000000
0.020000,1.343341,0.000000,1.343385,2.207654,1.824507,0.000000,0.000000
0.020000,1.387859,0.000000,1.387903,2.244144,1.824507,0.000000,0.000000
0.020000,1.433107,0.000000,1.433150,2.280634,1.824507,0.000000,0.000000
0.020000,1.479085,0.000000,1.479128,2.317124,1.824507,-0.000000,0.000000
0.020000,1.525769,0.000000,1.525812,2.351333,1.710475,-5.701585,0.000000
0.020000,1.573115,0.000000,1.573158,2.383262,1.596444,-5.701585,0.000000
0.020000,1.621077,0.000000,1.621120,2.412911,1.482412,-5.701585,0.000000
0.020000,1.669609,0.000000,1.669652,2.440278,1.368380,-5.701585,0.000000
0.020000,1.718665,0.000000,1.718708,2.465365,1.254349,-5.701585,0.000000
0.020000,1.768201,0.000000,1.768244,2.488171,1.140317,-5.701585,0.000000
0.020000,1.818169,0.000000,1.818212,2.508697,1.026285,-5.701585,0.000000
0.020000,1.868526,0.000000,1.868569,2.526942,0.912254,-5.701585,0.000000
0.020000,1.919224,0.000000,1.919267,2.542907,0.798222,-5.701585,0.000000
0.020000,1.970219,0.000000,1.970262,2.556590,0.684190,-5.701585,0.000000
0.020000,2.021465,0.000000,2.021508,2.567994,0.570158,-5.701585,0.000000
0.020000,2.072916,0.000000,2.072959,2.577116,0.456127,-5.701585,0.000000
0.020000,2.124527,0.000000,2.124570,2.583958,0.342095,-5.701585,0.000000
0.020000,2.176252,0.000000,2.176295,2.588519,0.228063,-5.701585,0.000000
0.020000,2.228045,0.000000,2.228088,2.590800,0.114032,-5.701585,0.000000
0.020000,2.279861,0.000000,2.279904,2.590800,0.000000,-5.701585,0.000000
0.020000,2.331677,0.000000,2.331720,2.590800,0.000000,0.000000,0.000000
0.020000,2.383493,0.000000,2.383536,2.590800,0.000000,0.000000,0.000000
0.020000,2.435309,0.000000,2.435352,2.590800,0.000000,0.000000,0.000000
0.020000,2.487125,0.000000,2.487168,2.590800,0.000000,0.000000,0.000000
0.020000,2.538941,0.000000,2.538984,2.590800,0.000000,0.000000,0.000000
0.020000,2.590757,0.000000,2.590800,2.590800,0.000000,0.000000,0.000000
0.020000,2.642573,0.000000,2.642616,2.590800,0.000000,0.000000,0.000000
0.020000,2.694389,0.000000,2.694432,2.590800,0.000000,0.000000,0.000000
0.020000,2.746205,0.000000,2.746248,2.590800,0.000000,0.000000,0.000000
0.020000,2.798021,0.000000,2.798064,2.590800,0.000000,0.000000,0.000000
0.020000,2.849837,0.000000,2.849880,2.590800,0.000000,0.000000,0.000000
0.020000,2.901653,0.000000,2.901696,2.590800,0.000000,0.000000,0.000000
0.020000,2.953469,0.000000,2.953512,2.590800,0.000000,0.000000,0.000000
0.020000,3.005285,0.000000,3.005328,2.590800,0.000000,0.000000,0.000000
0.020000,3.057101,0.000000,3.057144,2.590800,0.000000,0.000000,0.000000
0.020000,3.108917,0.000000,3.108960,2.590800,0.000000,0.000000,0.000000
0.020000,3.160733,0.000000,3.160776,2.590800,0.000000,0.000000,0.000000
0.020000,3.212549,0.000000,3.212592,2.590800,0.000000,0.000000,0.000000
0.020000,3.264365,0.000000,3.264408,2.590800,0.000000,0.000000,0.000000
0.020000,3.316181,0.000000,3.316224,2.590800,0.000000,0.000000,0.000000
0.020000,3.367997,0.000000,3.368040,2.590800,0.000000,0.000000,0.000000
0.020000,3.419813,0.000000,3.419856,2.590800,0.000000,0.000000,0.000000
0.020000,3.471629,0.000000,3.471672,2.590800,0.000000,0.000000,0.000000
0.020000,3.523445,0.000000,3.523488,2.590800,0.000000,0.000000,0.000000
0.020000,3.575261,0.000000,3.575304,2.590800,0.000000,0.000000,0.000000
0.020000,3.627077,0.000000,3.627120,2.590800,0.000000,0.000000,0.000000
0.020000,3.678893,0.000000,3.678936,2.590800,0.000000,0.000000,0.000000
0.020000,3.730709,0.000000,3.730752,2.590800,0.000000,0.000000,0.000000
0.020000,3.782525,0.000000,3.782568,2.590800,0.000000,0.000000,0.000000
0.020000,3.834341,0.000000,3.834384,2.590800,0.000000,0.000000,0.000000
0.020000,3.886157,0.000000,3.886200,2.590800,0.000000,0.000000,0.000000
0.020000,3.937973,0.000000,3.938016,2.590800,0.000000,0.000000,0.000000
0.020000,3.989789,0.000000,3.989832,2.590800,0.000000,0.000000,0.000000
0.020000,4.041605,0.000000,4.041648,2.590800,0.000000,0.000000,0.000000
0.020000,4.093421,0.000000,4.093464,2.590800,0.000000,0.000000,0.000000
0.020000,4.145237,0.000000,4.145280,2.590800,0.000000,0.000000,0.000000
0.020000,4.197053,0.000000,4.197096,2.590800,0.000000,0.000000,0.000000
0.020000,4.248869,0.000000,4.248912,2.590800,0.000000,0.000000,0.000000
0.020000,4.300685,0.000000,4.300728,2.590800,0.000000,0.000000,0.000000
0.020000,4.352473,0.000309,4.352544,2.590800,0.000000,0.000000,0.018068
0.020000,4.404260,0.001989,4.404360,2.590800,0.000000,0.000000,0.047216
0.020000,4.455971,0.005244,4.456176,2.590800,0.000000,0.000000,0.078995
0.020000,4.507546,0.010215,4.507992,2.590800,0.000000,0.000000,0.113695
0.020000,4.558905,0.017054,4.559808,2.590800,0.000000,0.000000,0.151624
0.020000,4.609953,0.025925,4.611624,2.590800,0.000000,0.000000,0.193094
0.020000,4.660567,0.037000,4.663440,2.590800,0.000000,0.000000,0.238409
0.020000,4.710599,0.050458,4.715256,2.590800,0.000000,0.000000,0.287832
0.020000,4.759870,0.066476,4.767072,2.590800,0.000000,0.000000,0.341553
0.020000,4.808169,0.085222,4.818888,2.590800,0.000000,0.000000,0.399633
0.020000,4.855250,0.106841,4.870704,2.590800,0.000000,0.000000,0.461951
0.020000,4.900845,0.131439,4.922520,2.590800,0.000000,0.000000,0.528146
0.020000,4.944665,0.159072,4.974336,2.590800,0.000000,0.000000,0.597578
0.020000,4.986423,0.189731,5.026152,2.590800,0.000000,0.000000,0.669325
0.020000,5.025854,0.223331,5.077968,2.590800,0.000000,0.000000,0.742231
0.020000,5.062730,0.259716,5.129784,2.590800,0.000000,0.000000,0.815006
