dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000024,0.002438,0.121920,6.096000,0.000000
0.020000,0.000079,0.000000,0.000122,0.007315,0.243840,6.096000,0.000000
0.020000,0.000298,0.000000,0.000341,0.014630,0.365760,6.096000,0.000000
0.020000,0.000688,0.000000,0.000732,0.024384,0.487680,6.096000,0.000000
0.020000,0.001298,0.000000,0.001341,0.036576,0.609600,6.096000,0.000000
0.020000,0.002176,0.000000,0.002219,0.051206,0.731520,6.096000,0.000000
0.020000,0.003371,0.000000,0.003414,0.068275,0.853440,6.096000,0.000000
0.020000,0.004931,0.000000,0.004974,0.087782,0.975360,6.096000,0.000000
0.020000,0.006906,0.000000,0.006949,0.109728,1.097280,6.096000,0.000000
0.020000,0.009345,0.000000,0.009388,0.134112,1.219200,6.096000,0.000000
0.020000,0.012271,0.000000,0.012314,0.158496,1.219200,-0.000000,0.000000
0.020000,0.015684,0.000000,0.015728,0.182880,1.219200,0.000000,0.000000
0.020000,0.019586,0.000000,0.019629,0.207264,1.219200,0.000000,0.000000
0.020000,0.023975,0.000000,0.024018,0.231648,1.219200,0.000000,0.000000
0.020000,0.028852,0.000000,0.028895,0.256032,1.219200,0.000000,0.000000
0.020000,0.034216,0.000000,0.034260,0.280416,1.219200,-0.000000,0.000000
0.020000,0.040069,0.000000,0.040112,0.304800,1.219200,0.000000,0.000000
0.020000,0.046408,0.000000,0.046452,0.329184,1.219200,0.000000,0.000000
0.020000,0.053236,0.000000,0.053279,0.353568,1.219200,-0.000000,0.000000
0.020000,0.060551,0.000000,0.060594,0.377952,1.219200,0.000000,0.000000
0.020000,0.068354,0.000000,0.068397,0.402336,1.219200,-0.000000,0.000000
0.020000,0.076645,0.000000,0.076688,0.426720,1.219200,0.000000,0.000000
0.020000,0.085423,0.000000,0.085466,0.451104,1.219200,0.000000,0.000000
0.020000,0.094689,0.000000,0.094732,0.475488,1.219200,0.000000,0.000000
0.020000,0.104442,0.000000,0.104485,0.499872,1.219200,-0.000000,0.000000
0.020000,0.114684,0.000000,0.114727,0.524256,1.219200,0.000000,0.000000
0.020000,0.125413,0.000000,0.125456,0.548640,1.219200,-0.000000,0.000000
0.020000,0.136629,0.000000,0.136672,0.573024,1.219200,0.000000,0.000000
0.020000,0.148333,0.000000,0.148377,0.597408,1.219200,-0.000000,0.000000
0.020000,0.160525,0.000000,0.160569,0.621792,1.219200,0.000000,0.000000
0.020000,0.173205,0.000000,0.173248,0.646176,1.219200,0.000000,0.000000
0.020000,0.186372,0.000000,0.186416,0.670560,1.219200,-0.000000,0.000000
0.020000,0.200028,0.000000,0.200071,0.694944,1.219200,0.000000,0.000000
0.020000,0.214170,0.000000,0.214213,0.719328,1.219200,-0.000000,0.000000
0.020000,0.228801,0.000000,0.228844,0.743712,1.219200,0.000000,0.000000
0.020000,0.243919,0.000000,0.243962,0.768096,1.219200,0.000000,0.000000
0.020000,0.259524,0.000000,0.259568,0.792480,1.219200,0.000000,0.000000
0.020000,0.275618,0.000000,0.275661,0.816864,1.219200,-0.000000,0.000000
0.020000,0.292199,0.000000,0.292242,0.841248,1.219200,0.000000,0.000000
0.020000,0.309268,0.000000,0.309311,0.865632,1.219200,-0.000000,0.000000
0.020000,0.326824,0.000000,0.326868,0.890016,1.219200,0.000000,0.000000
0.020000,0.344868,0.000000,0.344912,0.914400,1.219200,0.000000,0.000000
0.020000,0.363400,0.000000,0.363444,0.938784,1.219200,-0.000000,0.000000
0.020000,0.382420,0.000000,0.382463,0.963168,1.219200,0.000000,0.000000
0.020000,0.401927,0.000000,0.401970,0.987552,1.219200,-0.000000,0.000000
0.020000,0.421922,0.000000,0.421965,1.011936,1.219200,0.000000,0.000000
0.020000,0.442405,0.000000,0.442448,1.036320,1.219200,-0.000000,0.000000
0.020000,0.463375,0.000000,0.463418,1.060704,1.219200,-0.000000,0.000000
0.020000,0.484833,0.000000,0.484876,1.085088,1.219200,0.000000,0.000000
0.020000,0.506778,0.000000,0.506821,1.109472,1.219200,-0.000000,0.000000
0.020000,0.529212,0.000000,0.529255,1.133856,1.219200,0.000000,0.000000
0.020000,0.552133,0.000000,0.552176,1.158240,1.219200,-0.000000,0.000000
0.020000,0.575541,0.000000,0.575584,1.182624,1.219200,0.000000,0.000000
0.020000,0.599437,0.000000,0.599481,1.207008,1.219200,-0.000000,0.000000
0.020000,0.623821,0.000000,0.623865,1.231392,1.219200,0.000000,0.000000
0.020000,0.648693,0.000000,0.648736,1.255776,1.219200,0.000000,0.000000
0.020000,0.674052,0.000000,0.674096,1.280160,1.219200,0.000000,0.000000
0.020000,0.699900,0.000000,0.699943,1.304544,1.219200,-0.000000,0.000000
0.020000,0.726234,0.000000,0.726277,1.328928,1.219200,0.000000,0.000000
0.020000,0.753057,0.000000,0.753100,1.353312,1.219200,-0.000000,0.000000
0.020000,0.780367,0.000000,0.780410,1.377696,1.219200,0.000000,0.000000
0.020000,0.808164,0.000000,0.808208,1.402080,1.219200,-0.000000,0.000000
0.020000,0.836450,0.000000,0.836493,1.426464,1.219200,0.000000,0.000000
0.020000,0.865223,0.000000,0.865266,1.450848,1.219200,0.000000,0.000000
0.020000,0.894484,0.000000,0.894527,1.475232,1.219200,0.000000,0.000000
0.020000,0.924232,0.000000,0.924276,1.499616,1.219200,-0.000000,0.000000
0.020000,0.954468,0.000000,0.954512,1.524000,1.219200,0.000000,0.000000
0.020000,0.985192,0.000000,0.985236,1.548384,1.219200,0.000000,0.000000
0.020000,1.016404,0.000000,1.016447,1.572768,1.219200,-0.000000,0.000000
0.020000,1.048103,0.000000,1.048146,1.597152,1.219200,0.000000,0.000000
0.020000,1.080290,0.000000,1.080333,1.621536,1.219200,0.000000,0.000000
0.020000,1.112964,0.000000,1.113008,1.645920,1.219200,0.000000,0.000000
0.020000,1.146127,0.000000,1.146170,1.670304,1.219200,-0.000000,0.000000
0.020000,1.179777,0.000000,1.179820,1.694688,1.219200,0.000000,0.000000
0.020000,1.213914,0.000000,1.213957,1.719072,1.219200,-0.000000,0.000000
0.020000,1.248540,0.000000,1.248583,1.743456,1.219200,0.000000,0.000000
0.020000,1.283652,0.000000,1.283696,1.767840,1.219200,-0.000000,0.000000
0.020000,1.319253,0.000000,1.319296,1.792224,1.219200,0.000000,0.000000
0.020000,1.355341,0.000000,1.355385,1.816608,1.219200,0.000000,0.000000
0.020000,1.391917,0.000000,1.391961,1.840992,1.219200,0.000000,0.000000
0.020000,1.428981,0.000000,1.429024,1.865376,1.219200,-0.000000,0.000000
0.020000,1.466532,0.000000,1.466576,1.889760,1.219200,0.000000,0.000000
0.020000,1.504572,0.000000,1.504615,1.914144,1.219200,-0.000000,0.000000
0.020000,1.543098,0.000000,1.543141,1.938528,1.219200,0.000000,0.000000
0.020000,1.582113,0.000000,1.582156,1.962912,1.219200,-0.000000,0.000000
0.020000,1.621615,0.000000,1.621658,1.987296,1.219200,0.000000,0.000000
0.020000,1.661604,0.000000,1.661648,2.011680,1.219200,0.000000,0.000000
0.020000,1.702082,0.000000,1.702125,2.036064,1.219200,0.000000,0.000000
0.020000,1.743047,0.000000,1.743090,2.060448,1.219200,0.000000,0.000000
0.020000,1.784500,0.000000,1.784543,2.084832,1.219200,0.000000,0.000000
0.020000,1.826440,0.000000,1.826484,2.109216,1.219200,-0.000000,0.000000
0.020000,1.868868,0.000000,1.868912,2.133600,1.219200,0.000000,0.000000
0.020000,1.911784,0.000000,1.911828,2.157984,1.219200,0.000000,0.000000
0.020000,1.955188,0.000000,1.955231,2.182368,1.219200,-0.000000,0.000000
0.020000,1.999079,0.000000,1.999122,2.206752,1.219200,0.000000,0.000000
0.020000,2.043458,0.000000,2.043501,2.231136,1.219200,-0.000000,0.000000
0.020000,2.088324,0.000000,2.088368,2.255520,1.219200,0.000000,0.000000
0.020000,2.133679,0.000000,2.133722,2.279904,1.219200,0.000000,0.000000
0.020000,2.179521,0.000000,2.179564,2.304288,1.219200,0.000000,0.000000
0.020000,2.225850,0.000000,2.225893,2.328672,1.219200,0.000000,0.000000
0.020000,2.272643,0.000000,2.272686,2.350618,1.097280,-6.096000,0.000000
0.020000,2.319851,0.000000,2.319894,2.370125,0.975360,-6.096000,0.000000
0.020000,2.367424,0.000000,2.367467,2.387194,0.853440,-6.096000,0.000000
0.020000,2.415314,0.000000,2.415357,2.401824,0.731520,-6.096000,0.000000
0.020000,2.463472,0.000000,2.463516,2.414016,0.609600,-6.096000,0.000000
0.020000,2.511850,0.000000,2.511893,2.423770,0.487680,-6.096000,0.000000
0.020000,2.560399,0.000000,2.560442,2.431085,0.365760,-6.096000,0.000000
0.020000,2.609069,0.000000,2.609112,2.435962,0.243840,-6.096000,0.000000
0.020000,2.657813,0.000000,2.657856,2.438400,0.121920,-6.096000,0.000000
0.020000,2.706581,0.000000,2.706624,2.438400,0.000000,-6.096000,0.000000
0.020000,2.755349,0.000000,2.755392,2.438400,0.000000,0.000000,0.000000
0.020000,2.804117,0.000000,2.804160,2.438400,0.000000,0.000000,0.000000
0.020000,2.852885,0.000000,2.852928,2.438400,0.000000,0.000000,0.000000
0.020000,2.901653,0.000000,2.901696,2.438400,0.000000,0.000000,0.000000
0.020000,2.950421,0.000000,2.950464,2.438400,0.000000,0.000000,0.000000
0.020000,2.999189,0.000000,2.999232,2.438400,0.000000,0.000000,0.000000
0.020000,3.047957,0.000000,3.048000,2.438400,0.000000,0.000000,0.000000
0.020000,3.096725,0.000000,3.096768,2.438400,0.000000,0.000000,0.000000
0.020000,3.145493,0.000000,3.145536,2.438400,0.000000,0.000000,0.000000
0.020000,3.194261,0.000000,3.194304,2.438400,0.000000,0.000000,0.000000
0.020000,3.243029,0.000000,3.243072,2.438400,0.000000,0.000000,0.000000
0.020000,3.291797,0.000000,3.291840,2.438400,0.000000,0.000000,0.000000
0.020000,3.340565,0.000000,3.340608,2.438400,0.000000,0.000000,0.000000
0.020000,3.389333,0.000000,3.389376,2.438400,0.000000,0.000000,0.000000
0.020000,3.438101,0.000000,3.438144,2.438400,0.000000,0.000000,0.000000
0.020000,3.486869,0.000000,3.486912,2.438400,0.000000,0.000000,0.000000
0.020000,3.535637,0.000000,3.535680,2.438400,0.000000,0.000000,0.000000
0.020000,3.584405,0.000000,3.584448,2.438400,0.000000,0.000000,0.000000
0.020000,3.633173,0.000000,3.633216,2.438400,0.000000,0.000000,0.000000
0.020000,3.681941,0.000000,3.681984,2.438400,0.000000,0.000000,0.000000
0.020000,3.730709,0.000000,3.730752,2.438400,0.000000,0.000000,0.000000
0.020000,3.779477,0.000000,3.779520,2.438400,0.000000,0.000000,0.000000
0.020000,3.828245,0.000000,3.828288,2.438400,0.000000,0.000000,0.000000
0.020000,3.877013,0.000000,3.877056,2.438400,0.000000,0.000000,0.000000
0.020000,3.925781,0.000000,3.925824,2.438400,0.000000,0.000000,0.000000
0.020000,3.974549,0.000000,3.974592,2.438400,0.000000,0.000000,0.000000
0.020000,4.023317,0.000000,4.023360,2.438400,0.000000,0.000000,0.000000
0.020000,4.072085,0.000000,4.072128,2.438400,0.000000,0.000000,0.000000
0.020000,4.120853,0.000000,4.120896,2.438400,0.000000,0.000000,0.000000
0.020000,4.169621,0.000000,4.169664,2.438400,0.000000,0.000000,0.000000
0.020000,4.218389,0.000000,4.218432,2.438400,0.000000,0.000000,0.000000
0.020000,4.267157,0.000000,4.267200,2.438400,0.000000,0.000000,0.000000
0.020000,4.315925,0.000000,4.315968,2.438400,0.000000,0.000000,0.000000
0.020000,4.364662,-0.000569,4.364736,2.438400,0.000000,0.000000,6.258481
0.020000,4.413392,-0.002445,4.413504,2.438400,0.000000,0.000000,6.230561
0.020000,4.462047,-0.005737,4.462272,2.438400,0.000000,0.000000,6.200265
0.020000,4.510574,-0.010564,4.511040,2.438400,0.000000,0.000000,6.167351
0.020000,4.558905,-0.017054,4.559808,2.438400,0.000000,0.000000,6.131561
0.020000,4.606960,-0.025344,4.608576,2.438400,0.000000,0.000000,6.092634
0.020000,4.654639,-0.035577,4.657344,2.438400,0.000000,0.000000,6.050317
0.020000,4.701819,-0.047902,4.706112,2.438400,0.000000,0.000000,6.004383
0.020000,4.748356,-0.062468,4.754880,2.438400,0.000000,0.000000,5.954665
0.020000,4.794078,-0.079417,4.803648,2.438400,0.000000,0.000000,5.901084
0.020000,4.838789,-0.098875,4.852416,2.438400,0.000000,0.000000,5.843696
0.020000,4.882269,-0.120944,4.901184,2.438400,0.000000,0.000000,5.782731
0.020000,4.924283,-0.145689,4.949952,2.438400,0.000000,0.000000,5.718632
0.020000,4.964590,-0.173127,4.998720,2.438400,0.000000,0.000000,5.652067
0.020000,5.002955,-0.203218,5.047488,2.438400,0.000000,0.000000,5.583909
0.020000,5.039170,-0.235865,5.096256,2.438400,0.000000,0.000000,5.515187
0.020000,5.073064,-0.270916,5.145024,2.438400,0.000000,0.000000,5.446990
0.020000,5.104517,-0.308174,5.193792,2.438400,0.000000,0.000000,5.380371
0.020000,5.133467,-0.347409,5.242560,2.438400,0.000000,0.000000,5.316249
0.020000,5.159908,-0.388379,5.291328,2.438400,0.000000,0.000000,5.255347
0.020000,5.183884,-0.430838,5.340096,2.438400,0.000000,0.000000,5.198160
0.020000,5.205481,-0.474557,5.388864,2.438400,0.000000,0.000000,5.144966
0.020000,5.224814,-0.519324,5.437632,2.438400,0.000000,0.000000,5.095856
0.020000,5.242020,-0.564951,5.486400,2.438400,0.000000,0.000000,5.050774
0.020000,5.257242,-0.611279,5.535168,2.438400,0.000000,0.000000,5.009564
0.020000,5.270630,-0.658171,5.583936,2.438400,0.000000,0.000000,4.972006
0.020000,5.282329,-0.705512,5.632704,2.438400,0.000000,0.000000,4.937845
0.020000,5.292480,-0.753210,5.681472,2.438400,0.000000,0.000000,4.906815
0.020000,5.301216,-0.801188,5.730240,2.438400,0.000000,0.000000,4.878653
0.020000,5.308662,-0.849382,5.779008,2.438400,0.000000,0.000000,4.853108
0.020000,5.314933,-0.897744,5.827776,2.438400,0.000000,0.000000,4.829946
