dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000007,0.000000,0.000048,0.004803,0.240139,12.006943,0.000000
0.020000,0.000199,0.000000,0.000240,0.014408,0.480278,12.006943,0.000000
0.020000,0.000632,0.000000,0.000672,0.028817,0.720417,12.006943,0.000000
0.020000,0.001400,0.000000,0.001441,0.048028,0.960555,12.006943,0.000000
0.020000,0.002601,0.000000,0.002642,0.072042,1.200694,12.006943,0.000000
0.020000,0.004330,0.000000,0.004371,0.100858,1.440833,12.006943,0.000000
0.020000,0.006683,0.000000,0.006724,0.134478,1.680972,12.006943,0.000000
0.020000,0.009757,0.000000,0.009798,0.172900,1.921111,12.006943,0.000000
0.020000,0.013647,0.000000,0.013688,0.216125,2.161250,12.006943,0.000000
0.020000,0.018450,0.000000,0.018491,0.264153,2.401389,12.006943,0.000000
0.020000,0.024261,0.000000,0.024302,0.316983,2.641527,12.006943,0.000000
0.020000,0.031177,0.000000,0.031218,0.374617,2.881666,12.006943,0.000000
0.020000,0.039294,0.000000,0.039335,0.437053,3.121805,12.006943,0.000000
0.020000,0.048708,0.000000,0.048748,0.504292,3.361944,12.006943,0.000000
0.020000,0.059514,0.000000,0.059554,0.576333,3.602083,12.006943,0.000000
0.020000,0.071809,0.000000,0.071850,0.653178,3.842222,12.006943,0.000000
0.020000,0.085689,0.000000,0.085730,0.734825,4.082361,12.006943,0.000000
0.020000,0.101250,0.000000,0.101291,0.821275,4.322499,12.006943,0.000000
0.020000,0.118588,0.000000,0.118629,0.912528,4.562638,12.006943,0.000000
0.020000,0.137799,0.000000,0.137840,1.008583,4.802777,12.006943,0.000000
0.020000,0.158979,0.000000,0.159020,1.109442,5.042916,12.006943,0.000000
0.020000,0.182225,0.000000,0.182265,1.215103,5.283055,12.006943,0.000000
0.020000,0.207631,0.000000,0.207672,1.325566,5.523194,12.006943,0.000000
0.020000,0.235295,0.000000,0.235336,1.440833,5.763333,12.006943,0.000000
0.020000,0.265313,0.000000,0.265353,1.560903,6.003471,12.006943,0.000000
0.020000,0.297732,0.000000,0.297772,1.680972,6.003471,-0.000000,0.000000
0.020000,0.332552,0.000000,0.332592,1.801041,6.003471,0.000000,0.000000
0.020000,0.369773,0.000000,0.369814,1.921111,6.003471,0.000000,0.000000
0.020000,0.409348,0.000000,0.409389,2.036378,5.763333,-12.006943,0.000000
0.020000,0.451180,0.000000,0.451221,2.146841,5.523194,-12.006943,0.000000
0.020000,0.495174,0.000000,0.495214,2.252502,5.283055,-12.006943,0.000000
0.020000,0.541232,0.000000,0.541273,2.353361,5.042916,-12.006943,0.000000
0.020000,0.589260,0.000000,0.589301,2.449416,4.802777,-12.006943,0.000000
0.020000,0.639161,0.000000,0.639202,2.540669,4.562638,-12.006943,0.000000
0.020000,0.690839,0.000000,0.690879,2.627119,4.322499,-12.006943,0.000000
0.020000,0.744198,0.000000,0.744238,2.708766,4.082361,-12.006943,0.000000
0.020000,0.799141,0.000000,0.799182,2.785611,3.842222,-12.006943,0.000000
0.020000,0.855574,0.000000,0.855615,2.857652,3.602083,-12.006943,0.000000
0.020000,0.913400,0.000000,0.913440,2.924891,3.361944,-12.006943,0.000000
0.020000,0.972522,0.000000,0.972562,2.987327,3.121805,-12.006943,0.000000
0.020000,1.032845,0.000000,1.032885,3.044961,2.881666,-12.006943,0.000000
0.020000,1.094272,0.000000,1.094313,3.097791,2.641527,-12.006943,0.000000
0.020000,1.156708,0.000000,1.156749,3.145819,2.401389,-12.006943,0.000000
0.020000,1.220057,0.000000,1.220098,3.189044,2.161250,-12.006943,0.000000
0.020000,1.284222,0.000000,1.284263,3.227466,1.921111,-12.006943,0.000000
0.020000,1.349107,0.000000,1.349148,3.261086,1.680972,-12.006943,0.000000
0.020000,1.414617,0.000000,1.414658,3.289902,1.440833,-12.006943,0.000000
0.020000,1.480656,0.000000,1.480696,3.313916,1.200694,-12.006943,0.000000
0.020000,1.547126,0.000000,1.547167,3.333127,0.960555,-12.006943,0.000000
0.020000,1.613933,0.000000,1.613973,3.347536,0.720417,-12.006943,0.000000
0.020000,1.680979,0.000000,1.681020,3.357141,0.480278,-12.006943,0.000000
0.020000,1.748170,0.000000,1.748211,3.361944,0.240139,-12.006943,0.000000
0.020000,1.815409,0.000000,1.815450,3.361944,0.000000,-12.006943,0.000000
0.020000,1.882648,0.000000,1.882689,3.361944,0.000000,0.000000,0.000000
0.020000,1.949887,0.000000,1.949928,3.361944,0.000000,0.000000,0.000000
0.020000,2.017126,0.000000,2.017166,3.361944,0.000000,0.000000,0.000000
0.020000,2.084365,0.000000,2.084405,3.361944,0.000000,0.000000,0.000000
0.020000,2.151604,0.000000,2.151644,3.361944,0.000000,0.000000,0.000000
0.020000,2.218842,0.000000,2.218883,3.361944,0.000000,0.000000,0.000000
0.020000,2.286081,0.000000,2.286122,3.361944,0.000000,0.000000,0.000000
0.020000,2.353293,0.000000,2.353334,3.359263,-0.134039,-6.701971,0.000000
0.020000,2.420404,0.000000,2.420444,3.351780,-0.374178,-12.006943,0.000000
0.020000,2.487317,0.000000,2.487357,3.339493,-0.614317,-12.006943,0.000000
0.020000,2.553935,0.000000,2.553976,3.322404,-0.854456,-12.006943,0.000000
0.020000,2.620165,0.000000,2.620205,3.300512,-1.094595,-12.006943,0.000000
0.020000,2.685908,0.000000,2.685949,3.273818,-1.334734,-12.006943,0.000000
0.020000,2.751069,0.000000,2.751110,3.242320,-1.574873,-12.006943,0.000000
0.020000,2.815553,0.000000,2.815593,3.206020,-1.815011,-12.006943,0.000000
0.020000,2.879262,0.000000,2.879303,3.164917,-2.055150,-12.006943,0.000000
0.020000,2.942101,0.000000,2.942142,3.119011,-2.295289,-12.006943,0.000000
0.020000,3.003975,0.000000,3.004015,3.068303,-2.535428,-12.006943,0.000000
0.020000,3.064785,0.000000,3.064826,3.012791,-2.775567,-12.006943,0.000000
0.020000,3.124438,0.000000,3.124479,2.952477,-3.015706,-12.006943,0.000000
0.020000,3.182837,0.000000,3.182877,2.887360,-3.255845,-12.006943,0.000000
0.020000,3.239885,0.000000,3.239925,2.817441,-3.495983,-12.006943,0.000000
0.020000,3.295486,0.000000,3.295527,2.742718,-3.736122,-12.006943,0.000000
0.020000,3.349545,0.000000,3.349586,2.663193,-3.976261,-12.006943,0.000000
0.020000,3.401966,0.000000,3.402006,2.578865,-4.216400,-12.006943,0.000000
0.020000,3.452652,0.000000,3.452692,2.489734,-4.456539,-12.006943,0.000000
0.020000,3.501507,0.000000,3.501548,2.395801,-4.696678,-12.006943,0.000000
0.020000,3.548436,0.000000,3.548476,2.297064,-4.936817,-12.006943,0.000000
0.020000,3.593342,0.000000,3.593382,2.193525,-5.176955,-12.006943,0.000000
0.020000,3.636129,0.000000,3.636169,2.085183,-5.417094,-12.006943,0.000000
0.020000,3.676701,0.000000,3.676742,1.972039,-5.657233,-12.006943,0.000000
0.020000,3.714962,0.000000,3.715003,1.854091,-5.897372,-12.006943,0.000000
0.020000,3.750843,0.000000,3.750884,1.734022,-6.003471,-5.304971,0.000000
0.020000,3.784323,0.000000,3.784364,1.613952,-6.003471,0.000000,0.000000
0.020000,3.815401,0.000000,3.815442,1.493883,-6.003471,-0.000000,0.000000
0.020000,3.844105,0.000000,3.844146,1.376494,-5.869432,6.701971,0.000000
0.020000,3.870509,0.000000,3.870550,1.263908,-5.629293,12.006943,0.000000
