dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000012,-0.000000,0.000024,0.002408,0.120423,6.021141,3.141596
0.020000,-0.000108,-0.000000,0.000120,0.007225,0.240846,6.021141,3.141620
0.020000,-0.000325,-0.000000,0.000337,0.014451,0.361268,6.021141,3.141675
0.020000,-0.000710,-0.000000,0.000723,0.024085,0.481691,6.021141,3.141772
0.020000,-0.001312,-0.000000,0.001325,0.036127,0.602114,6.021141,3.141923
0.020000,-0.002179,-0.000001,0.002192,0.050578,0.722537,6.021141,3.142139
0.020000,-0.003360,-0.000001,0.003372,0.067437,0.842960,6.021141,3.142432
0.020000,-0.004901,-0.000003,0.004913,0.086704,0.963383,6.021141,3.142811
0.020000,-0.006852,-0.000006,0.006864,0.108381,1.083805,6.021141,3.143286
0.020000,-0.009260,-0.000011,0.009273,0.132465,1.204228,6.021141,3.143865
0.020000,-0.012150,-0.000018,0.012163,0.156550,1.204228,-0.000000,3.144547
0.020000,-0.015522,-0.000029,0.015535,0.180634,1.204228,0.000000,3.145327
0.020000,-0.019376,-0.000046,0.019388,0.204719,1.204228,-0.000000,3.146198
0.020000,-0.023711,-0.000068,0.023723,0.228803,1.204228,0.000000,3.147150
0.020000,-0.028528,-0.000097,0.028540,0.252888,1.204228,-0.000000,3.148175
0.020000,-0.033826,-0.000135,0.033839,0.276973,1.204228,0.000000,3.149262
0.020000,-0.039606,-0.000182,0.039619,0.301057,1.204228,-0.000000,3.150399
0.020000,-0.045868,-0.000241,0.045881,0.325142,1.204228,0.000000,3.151575
0.020000,-0.052611,-0.000313,0.052625,0.349226,1.204228,-0.000000,3.152776
0.020000,-0.059836,-0.000398,0.059850,0.373311,1.204228,0.000000,3.153987
0.020000,-0.067543,-0.000498,0.067557,0.397395,1.204228,-0.000000,3.155193
0.020000,-0.075730,-0.000614,0.075746,0.421480,1.204228,-0.000000,3.156379
0.020000,-0.084400,-0.000747,0.084416,0.445564,1.204228,0.000000,3.157525
0.020000,-0.093551,-0.000898,0.093569,0.469649,1.204228,-0.000000,3.158616
0.020000,-0.103183,-0.001067,0.103202,0.493734,1.204228,0.000000,3.159630
0.020000,-0.113297,-0.001255,0.113318,0.517818,1.204228,-0.000000,3.160549
0.020000,-0.123892,-0.001460,0.123915,0.541903,1.204228,0.000000,3.161351
0.020000,-0.134969,-0.001683,0.134994,0.565987,1.204228,-0.000000,3.162014
0.020000,-0.146527,-0.001922,0.146555,0.590072,1.204228,0.000000,3.162515
0.020000,-0.158567,-0.002176,0.158597,0.614156,1.204228,-0.000000,3.162830
0.020000,-0.171088,-0.002443,0.171121,0.638241,1.204228,0.000000,3.162933
0.020000,-0.184090,-0.002720,0.184127,0.662326,1.204228,0.000000,3.162799
0.020000,-0.197575,-0.003003,0.197614,0.686410,1.204228,0.000000,3.162400
0.020000,-0.211541,-0.003289,0.211583,0.710495,1.204228,-0.000000,3.161708
0.020000,-0.225989,-0.003573,0.226034,0.734579,1.204228,0.000000,3.160691
0.020000,-0.240919,-0.003848,0.240966,0.758664,1.204228,-0.000000,3.159320
0.020000,-0.256331,-0.004108,0.256380,0.782748,1.204228,0.000000,3.157561
0.020000,-0.272225,-0.004345,0.272276,0.806833,1.204228,0.000000,3.155380
0.020000,-0.288601,-0.004550,0.288654,0.830918,1.204228,-0.000000,3.152741
0.020000,-0.305459,-0.004712,0.305513,0.855002,1.204228,0.000000,3.149607
0.020000,-0.322800,-0.004820,0.322854,0.879087,1.204228,-0.000000,3.145937
0.020000,-0.340622,-0.004860,0.340676,0.903171,1.204228,0.000000,3.141691
0.020000,-0.358927,-0.004818,0.358980,0.927256,1.204228,0.000000,3.136824
0.020000,-0.377712,-0.004678,0.377766,0.951340,1.204228,-0.000000,3.131291
0.020000,-0.396978,-0.004420,0.397034,0.975425,1.204228,0.000000,3.125043
0.020000,-0.416723,-0.004025,0.416783,0.999509,1.204228,0.000000,3.118030
0.020000,-0.436947,-0.003470,0.437014,1.023594,1.204228,-0.000000,3.110198
0.020000,-0.457646,-0.002731,0.457727,1.047679,1.204228,0.000000,3.101491
0.020000,-0.478819,-0.001781,0.478922,1.071763,1.204228,0.000000,3.091852
0.020000,-0.500462,-0.000589,0.500598,1.095848,1.204228,0.000000,3.081219
0.020000,-0.522572,0.000875,0.522755,1.119932,1.204228,0.000000,3.069529
0.020000,-0.545141,0.002648,0.545395,1.144017,1.204228,0.000000,3.056718
0.020000,-0.568165,0.004768,0.568516,1.168101,1.204228,0.000000,3.042719
0.020000,-0.591634,0.007275,0.592119,1.192186,1.204228,0.000000,3.027467
0.020000,-0.615538,0.010214,0.616204,1.216271,1.204228,-0.000000,3.010894
0.020000,-0.639865,0.013632,0.640770,1.240355,1.204228,0.000000,2.992937
0.020000,-0.664600,0.017579,0.665818,1.264440,1.204228,-0.000000,2.973534
0.020000,-0.689724,0.022110,0.691347,1.288524,1.204228,0.000000,2.952630
0.020000,-0.715216,0.027280,0.717359,1.312609,1.204228,-0.000000,2.930177
0.020000,-0.741050,0.033148,0.743852,1.336693,1.204228,-0.000000,2.906139
0.020000,-0.767198,0.039773,0.770827,1.360778,1.204228,0.000000,2.880493
