dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000022,-0.000000,0.000024,0.002412,0.120605,6.030261,6.283185
0.020000,0.000118,-0.000000,0.000121,0.007236,0.241210,6.030261,6.283185
0.020000,0.000335,-0.000000,0.000338,0.014473,0.361816,6.030261,6.283185
0.020000,0.000721,-0.000000,0.000724,0.024121,0.482421,6.030261,6.283185
0.020000,0.001324,-0.000000,0.001327,0.036182,0.603026,6.030261,6.283185
0.020000,0.002192,-0.000000,0.002195,0.050654,0.723631,6.030261,6.283185
0.020000,0.003374,-0.000000,0.003377,0.067539,0.844236,6.030261,6.283185
0.020000,0.004918,-0.000000,0.004921,0.086836,0.964842,6.030261,6.283185
0.020000,0.006872,-0.000000,0.006874,0.108545,1.085447,6.030261,6.283185
0.020000,0.009284,-0.000000,0.009287,0.132666,1.206052,6.030261,6.283185
0.020000,0.012179,-0.000000,0.012181,0.156787,1.206052,-0.000000,6.283185
0.020000,0.015556,-0.000000,0.015558,0.180908,1.206052,0.000000,6.283185
0.020000,0.019415,-0.000000,0.019417,0.205029,1.206052,0.000000,6.283185
0.020000,0.023757,-0.000000,0.023759,0.229150,1.206052,0.000000,0.000000
0.020000,0.028581,-0.000000,0.028583,0.253271,1.206052,-0.000000,0.000000
0.020000,0.033888,-0.000000,0.033890,0.277392,1.206052,0.000000,0.000000
0.020000,0.039677,-0.000000,0.039679,0.301513,1.206052,0.000000,0.000000
0.020000,0.045948,-0.000000,0.045951,0.325634,1.206052,0.000000,0.000000
0.020000,0.052702,0.000000,0.052704,0.349755,1.206052,0.000000,0.000000
0.020000,0.059938,0.000000,0.059941,0.373876,1.206052,-0.000000,0.000000
0.020000,0.067657,0.000000,0.067660,0.397997,1.206052,0.000000,0.000000
0.020000,0.075858,0.000000,0.075861,0.422118,1.206052,0.000000,0.000000
0.020000,0.084542,0.000000,0.084544,0.446239,1.206052,-0.000000,0.000000
0.020000,0.093708,0.000000,0.093710,0.470360,1.206052,0.000000,0.000000
0.020000,0.103356,0.000000,0.103359,0.494481,1.206052,-0.000000,0.000000
0.020000,0.113487,0.000000,0.113490,0.518602,1.206052,0.000000,0.000000
0.020000,0.124100,0.000000,0.124103,0.542723,1.206052,0.000000,0.000000
0.020000,0.135196,0.000000,0.135198,0.566844,1.206052,-0.000000,0.000000
0.020000,0.146774,0.000000,0.146777,0.590966,1.206052,0.000000,0.000000
0.020000,0.158835,0.000000,0.158837,0.615087,1.206052,-0.000000,0.000000
0.020000,0.171377,0.000000,0.171380,0.639208,1.206052,0.000000,0.000000
0.020000,0.184403,0.000000,0.184405,0.663329,1.206052,0.000000,0.000000
0.020000,0.197911,0.000000,0.197913,0.687450,1.206052,0.000000,0.000000
0.020000,0.211901,0.000000,0.211903,0.711571,1.206052,-0.000000,0.000000
0.020000,0.226373,0.000000,0.226376,0.735692,1.206052,0.000000,0.000000
0.020000,0.241328,0.000000,0.241331,0.759813,1.206052,-0.000000,6.283185
0.020000,0.256760,-0.000014,0.256768,0.783934,1.206052,0.000000,6.272720
0.020000,0.272663,-0.000668,0.272688,0.808055,1.206052,0.000000,6.211143
0.020000,0.288974,-0.002377,0.289091,0.832176,1.206052,0.000000,6.146275
0.020000,0.305610,-0.005241,0.305975,0.856297,1.206052,-0.000000,6.079210
0.020000,0.322485,-0.009336,0.323343,0.880418,1.206052,0.000000,6.011361
0.020000,0.339504,-0.014706,0.341192,0.904539,1.206052,-0.000000,5.944343
0.020000,0.356582,-0.021360,0.359524,0.928660,1.206052,0.000000,5.879811
0.020000,0.373627,-0.029262,0.378314,0.950369,1.085447,-6.030261,5.819356
0.020000,0.390548,-0.038330,0.397515,0.969666,0.964842,-6.030261,5.764336
0.020000,0.407287,-0.048450,0.417077,0.986551,0.844236,-6.030261,5.715712
0.020000,0.423813,-0.059490,0.436953,1.001023,0.723631,-6.030261,5.674066
0.020000,0.440123,-0.071306,0.457094,1.013084,0.603026,-6.030261,5.639677
0.020000,0.456234,-0.083750,0.477452,1.022732,0.482421,-6.030261,5.612616
0.020000,0.472181,-0.096674,0.497979,1.029969,0.361816,-6.030261,5.592840
0.020000,0.488010,-0.109932,0.518627,1.034793,0.241210,-6.030261,5.580264
0.020000,0.503774,-0.123378,0.539347,1.037205,0.120605,-6.030261,5.574814
0.020000,0.519522,-0.136863,0.560079,1.036086,-0.055926,-8.826573,5.576456
0.020000,0.535304,-0.150237,0.580766,1.032556,-0.176531,-6.030261,5.585195
0.020000,0.551177,-0.163354,0.601358,1.026613,-0.297137,-6.030261,5.601087
0.020000,0.567190,-0.176071,0.621806,1.018258,-0.417742,-6.030261,5.624214
0.020000,0.583385,-0.188239,0.642064,1.007491,-0.538347,-6.030261,5.654651
0.020000,0.599788,-0.199711,0.662082,0.994312,-0.658952,-6.030261,5.692398
0.020000,0.616408,-0.210341,0.681812,0.978721,-0.779558,-6.030261,5.737300
0.020000,0.633231,-0.219988,0.701206,0.960718,-0.900163,-6.030261,5.788948
0.020000,0.650212,-0.228528,0.720217,0.940302,-1.020768,-6.030261,5.846594
0.020000,0.667278,-0.235860,0.738794,0.917475,-1.141373,-6.030261,5.909092
0.020000,0.684337,-0.241924,0.756903,0.893354,-1.206052,-3.233948,5.974961
0.020000,0.701299,-0.246704,0.774529,0.869233,-1.206052,0.000000,6.042562
0.020000,0.718074,-0.250224,0.791672,0.845112,-1.206052,0.000000,6.110235
0.020000,0.734569,-0.252546,0.808333,0.820991,-1.206052,0.000000,6.176440
0.020000,0.750700,-0.253756,0.824512,0.796870,-1.206052,-0.000000,6.239902
0.020000,0.766390,-0.254000,0.840208,0.772749,-1.206052,0.000000,6.283185
0.020000,0.781604,-0.254000,0.855422,0.748628,-1.206052,0.000000,0.000000
0.020000,0.796335,-0.254000,0.870153,0.724507,-1.206052,0.000000,0.000000
0.020000,0.810584,-0.254000,0.884402,0.700385,-1.206052,-0.000000,0.000000
0.020000,0.824351,-0.254000,0.898168,0.676264,-1.206052,0.000000,0.000000
0.020000,0.837635,-0.254000,0.911452,0.652143,-1.206052,-0.000000,0.000000
0.020000,0.850436,-0.254000,0.924254,0.628022,-1.206052,0.000000,0.000000
0.020000,0.862756,-0.254000,0.936573,0.603901,-1.206052,0.000000,0.000000
0.020000,0.874592,-0.254000,0.948410,0.579780,-1.206052,-0.000000,0.000000
0.020000,0.885947,-0.254000,0.959765,0.555659,-1.206052,0.000000,0.000000
0.020000,0.896819,-0.254000,0.970637,0.531538,-1.206052,0.000000,0.000000
0.020000,0.907208,-0.254000,0.981026,0.507417,-1.206052,-0.000000,0.000000
0.020000,0.917115,-0.254000,0.990933,0.483296,-1.206052,0.000000,0.000000
0.020000,0.926540,-0.254000,1.000358,0.459175,-1.206052,-0.000000,0.000000
0.020000,0.935482,-0.254000,1.009300,0.435054,-1.206052,0.000000,0.000000
0.020000,0.943942,-0.254000,1.017760,0.410933,-1.206052,-0.000000,0.000000
0.020000,0.951920,-0.254000,1.025738,0.386812,-1.206052,0.000000,0.000000
0.020000,0.959415,-0.254000,1.033233,0.362691,-1.206052,0.000000,0.000000
0.020000,0.966427,-0.254000,1.040245,0.338570,-1.206052,-0.000000,0.000000
0.020000,0.972958,-0.254000,1.046775,0.314449,-1.206052,0.000000,0.000000
0.020000,0.979005,-0.254000,1.052823,0.290328,-1.206052,0.000000,0.000000
