dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000024,0.002438,0.121920,6.096000,3.141574
0.020000,-0.000053,-0.000000,0.000122,0.007315,0.243840,6.096000,3.141614
0.020000,-0.000272,-0.000000,0.000341,0.014630,0.365760,6.096000,3.141705
0.020000,-0.000662,-0.000000,0.000732,0.024384,0.487680,6.096000,3.141866
0.020000,-0.001272,-0.000000,0.001341,0.036576,0.609600,6.096000,3.142118
0.020000,-0.002150,-0.000001,0.002219,0.051206,0.731520,6.096000,3.142480
0.020000,-0.003344,-0.000002,0.003414,0.068275,0.853440,6.096000,3.142975
0.020000,-0.004905,-0.000005,0.004974,0.087782,0.975360,6.096000,3.143622
0.020000,-0.006880,-0.000010,0.006949,0.109728,1.097280,6.096000,3.144443
0.020000,-0.009319,-0.000018,0.009388,0.134112,1.219200,6.096000,3.145460
0.020000,-0.012245,-0.000031,0.012314,0.158496,1.219200,-0.000000,3.146686
0.020000,-0.015658,-0.000051,0.015728,0.182880,1.219200,0.000000,3.148121
0.020000,-0.019560,-0.000080,0.019629,0.207264,1.219200,0.000000,3.149770
0.020000,-0.023949,-0.000120,0.024018,0.231648,1.219200,0.000000,3.151637
0.020000,-0.028825,-0.000174,0.028895,0.256032,1.219200,0.000000,3.153724
0.020000,-0.034189,-0.000245,0.034260,0.280416,1.219200,-0.000000,3.156037
0.020000,-0.040040,-0.000337,0.040112,0.304800,1.219200,0.000000,3.158580
0.020000,-0.046379,-0.000453,0.046452,0.329184,1.219200,0.000000,3.161360
0.020000,-0.053205,-0.000599,0.053279,0.353568,1.219200,-0.000000,3.164382
0.020000,-0.060518,-0.000777,0.060594,0.377952,1.219200,0.000000,3.167652
0.020000,-0.068318,-0.000994,0.068397,0.402336,1.219200,-0.000000,3.171179
0.020000,-0.076605,-0.001255,0.076688,0.426720,1.219200,0.000000,3.174971
0.020000,-0.085377,-0.001566,0.085466,0.451104,1.219200,0.000000,3.179035
0.020000,-0.094636,-0.001933,0.094732,0.475488,1.219200,0.000000,3.183383
0.020000,-0.104380,-0.002363,0.104485,0.499872,1.219200,-0.000000,3.188023
0.020000,-0.114609,-0.002864,0.114727,0.524256,1.219200,0.000000,3.192967
0.020000,-0.125322,-0.003443,0.125456,0.548640,1.219200,-0.000000,3.198228
0.020000,-0.136519,-0.004109,0.136672,0.573024,1.219200,0.000000,3.203818
0.020000,-0.148199,-0.004871,0.148377,0.597408,1.219200,-0.000000,3.209751
0.020000,-0.160360,-0.005740,0.160569,0.621792,1.219200,0.000000,3.216043
0.020000,-0.173001,-0.006725,0.173248,0.646176,1.219200,0.000000,3.222710
0.020000,-0.186121,-0.007838,0.186416,0.670560,1.219200,-0.000000,3.229770
0.020000,-0.199719,-0.009091,0.200071,0.694944,1.219200,0.000000,3.237241
0.020000,-0.213791,-0.010497,0.214213,0.719328,1.219200,-0.000000,3.245144
0.020000,-0.228337,-0.012070,0.228844,0.743712,1.219200,0.000000,3.253501
0.020000,-0.243353,-0.013824,0.243962,0.768096,1.219200,0.000000,3.262336
0.020000,-0.258836,-0.015776,0.259568,0.792480,1.219200,0.000000,3.271673
0.020000,-0.274783,-0.017942,0.275661,0.816864,1.219200,-0.000000,3.281539
0.020000,-0.291189,-0.020340,0.292242,0.841248,1.219200,0.000000,3.291965
0.020000,-0.308051,-0.022989,0.309311,0.865632,1.219200,-0.000000,3.302980
0.020000,-0.325363,-0.025911,0.326868,0.890016,1.219200,0.000000,3.314617
0.020000,-0.343118,-0.029126,0.344912,0.914400,1.219200,0.000000,3.326912
0.020000,-0.361310,-0.032658,0.363444,0.938784,1.219200,-0.000000,3.339902
0.020000,-0.379931,-0.036533,0.382463,0.963168,1.219200,0.000000,3.353626
0.020000,-0.398971,-0.040775,0.401970,0.987552,1.219200,-0.000000,3.368125
0.020000,-0.418420,-0.045415,0.421965,1.011936,1.219200,0.000000,3.383444
0.020000,-0.438266,-0.050480,0.442448,1.036320,1.219200,-0.000000,3.399626
0.020000,-0.458495,-0.056003,0.463418,1.060704,1.219200,-0.000000,3.416721
0.020000,-0.479093,-0.062018,0.484876,1.085088,1.219200,0.000000,3.434774
0.020000,-0.500041,-0.068559,0.506821,1.109472,1.219200,-0.000000,3.453837
0.020000,-0.521319,-0.075663,0.529255,1.133856,1.219200,0.000000,3.473956
0.020000,-0.542905,-0.083370,0.552176,1.158240,1.219200,-0.000000,3.495180
0.020000,-0.564773,-0.091719,0.575584,1.182624,1.219200,0.000000,3.517554
0.020000,-0.586896,-0.100753,0.599481,1.207008,1.219200,-0.000000,3.541122
0.020000,-0.609240,-0.110514,0.623865,1.231392,1.219200,0.000000,3.565919
0.020000,-0.631771,-0.121047,0.648736,1.255776,1.219200,0.000000,3.591977
0.020000,-0.654448,-0.132395,0.674096,1.280160,1.219200,0.000000,3.619314
0.020000,-0.677229,-0.144604,0.699943,1.304544,1.219200,-0.000000,3.647939
0.020000,-0.700066,-0.157717,0.726277,1.328928,1.219200,0.000000,3.677845
0.020000,-0.722907,-0.171777,0.753100,1.353312,1.219200,-0.000000,3.709008
0.020000,-0.745696,-0.186824,0.780410,1.377696,1.219200,0.000000,3.741384
0.020000,-0.768375,-0.202896,0.808208,1.402080,1.219200,-0.000000,3.774905
0.020000,-0.790882,-0.220025,0.836493,1.426464,1.219200,0.000000,3.809480
0.020000,-0.813152,-0.238242,0.865266,1.450848,1.219200,0.000000,3.844992
0.020000,-0.835120,-0.257569,0.894527,1.475232,1.219200,0.000000,3.881300
0.020000,-0.856718,-0.278023,0.924276,1.499616,1.219200,-0.000000,3.918242
0.020000,-0.877883,-0.299614,0.954512,1.524000,1.219200,0.000000,3.955632
0.020000,-0.898551,-0.322345,0.985236,1.548384,1.219200,0.000000,3.993274
0.020000,-0.918662,-0.346211,1.016447,1.572768,1.219200,-0.000000,4.030958
0.020000,-0.938161,-0.371201,1.048146,1.597152,1.219200,0.000000,4.068473
0.020000,-0.956999,-0.397297,1.080333,1.621536,1.219200,0.000000,4.105613
0.020000,-0.975134,-0.424475,1.113008,1.645920,1.219200,0.000000,4.142177
0.020000,-0.992528,-0.452707,1.146170,1.670304,1.219200,-0.000000,4.177984
0.020000,-1.009155,-0.481961,1.179820,1.694688,1.219200,0.000000,4.212869
0.020000,-1.024993,-0.512200,1.213957,1.719072,1.219200,-0.000000,4.246693
0.020000,-1.040029,-0.543388,1.248583,1.743456,1.219200,0.000000,4.279339
0.020000,-1.054257,-0.575488,1.283696,1.767840,1.219200,-0.000000,4.310714
0.020000,-1.067676,-0.608461,1.319296,1.792224,1.219200,0.000000,4.340750
0.020000,-1.080293,-0.642271,1.355385,1.816608,1.219200,0.000000,4.369400
0.020000,-1.092118,-0.676881,1.391961,1.840992,1.219200,0.000000,4.396637
0.020000,-1.103166,-0.712259,1.429024,1.865376,1.219200,-0.000000,4.422450
0.020000,-1.113457,-0.748372,1.466576,1.889760,1.219200,0.000000,4.446844
0.020000,-1.123012,-0.785191,1.504615,1.914144,1.219200,-0.000000,4.469833
0.020000,-1.131855,-0.822688,1.543141,1.938528,1.219200,0.000000,4.491441
0.020000,-1.140014,-0.860839,1.582156,1.962912,1.219200,-0.000000,4.511697
0.020000,-1.147517,-0.899621,1.621658,1.987296,1.219200,0.000000,4.530636
0.020000,-1.154393,-0.939015,1.661648,2.011680,1.219200,0.000000,4.548295
0.020000,-1.160672,-0.979002,1.702125,2.036064,1.219200,0.000000,4.564711
0.020000,-1.166387,-1.019566,1.743090,2.060448,1.219200,0.000000,4.579922
0.020000,-1.171569,-1.060693,1.784543,2.084832,1.219200,0.000000,4.593965
0.020000,-1.176251,-1.102371,1.826484,2.109216,1.219200,-0.000000,4.606874
0.020000,-1.180466,-1.144589,1.868912,2.133600,1.219200,0.000000,4.618682
0.020000,-1.184248,-1.187338,1.911828,2.157984,1.219200,0.000000,4.629418
0.020000,-1.187631,-1.230609,1.955231,2.182368,1.219200,-0.000000,4.639108
0.020000,-1.190651,-1.274396,1.999122,2.206752,1.219200,0.000000,4.647773
0.020000,-1.193343,-1.318693,2.043501,2.231136,1.219200,-0.000000,4.655431
0.020000,-1.195744,-1.363496,2.088368,2.255520,1.219200,0.000000,4.662096
0.020000,-1.197891,-1.408799,2.133722,2.279904,1.219200,0.000000,4.667777
0.020000,-1.199824,-1.454600,2.179564,2.304288,1.219200,0.000000,4.672476
0.020000,-1.201583,-1.500896,2.225893,2.328672,1.219200,0.000000,4.676193
0.020000,-1.203208,-1.547661,2.272686,2.350618,1.097280,-6.096000,4.678918
0.020000,-1.204743,-1.594843,2.319894,2.370125,0.975360,-6.096000,4.680640
0.020000,-1.206233,-1.642393,2.367467,2.387194,0.853440,-6.096000,4.681343
0.020000,-1.207723,-1.690260,2.415357,2.401824,0.731520,-6.096000,4.681008
0.020000,-1.209263,-1.738394,2.463516,2.414016,0.609600,-6.096000,4.679615
0.020000,-1.210904,-1.786744,2.511893,2.423770,0.487680,-6.096000,4.677139
0.020000,-1.212698,-1.835259,2.560442,2.431085,0.365760,-6.096000,4.673550
0.020000,-1.214698,-1.883889,2.609112,2.435962,0.243840,-6.096000,4.668816
0.020000,-1.216960,-1.932580,2.657856,2.438400,0.121920,-6.096000,4.662899
0.020000,-1.219542,-1.981279,2.706624,2.438400,0.000000,-6.096000,4.655756
0.020000,-1.222502,-2.029957,2.755392,2.438400,0.000000,0.000000,4.647335
0.020000,-1.225904,-2.078606,2.804160,2.438400,0.000000,0.000000,4.637571
0.020000,-1.229815,-2.127217,2.852928,2.438400,0.000000,0.000000,4.626388
0.020000,-1.234306,-2.175777,2.901696,2.438400,0.000000,0.000000,4.613697
0.020000,-1.239452,-2.224273,2.950464,2.438400,0.000000,0.000000,4.599396
0.020000,-1.245331,-2.272684,2.999232,2.438400,0.000000,0.000000,4.583373
0.020000,-1.252030,-2.320989,3.048000,2.438400,0.000000,0.000000,4.565497
0.020000,-1.259638,-2.369159,3.096768,2.438400,0.000000,0.000000,4.545627
0.020000,-1.268253,-2.417160,3.145536,2.438400,0.000000,0.000000,4.523607
0.020000,-1.277977,-2.464947,3.194304,2.438400,0.000000,0.000000,4.499266
0.020000,-1.288921,-2.512470,3.243072,2.438400,0.000000,0.000000,4.472425
0.020000,-1.301198,-2.559665,3.291840,2.438400,0.000000,0.000000,4.442897
0.020000,-1.314930,-2.606458,3.340608,2.438400,0.000000,0.000000,4.410498
0.020000,-1.330235,-2.652746,3.389363,2.437143,-0.062832,-3.141599,4.375060
0.020000,-1.347226,-2.698389,3.438069,2.433448,-0.184752,-6.096000,4.336465
0.020000,-1.365999,-2.743221,3.486677,2.427315,-0.306672,-6.096000,4.294654
0.020000,-1.386637,-2.787063,3.535138,2.418743,-0.428592,-6.096000,4.249647
0.020000,-1.409201,-2.829723,3.583402,2.407733,-0.550512,-6.096000,4.201563
0.020000,-1.433724,-2.871004,3.631422,2.394284,-0.672432,-6.096000,4.150640
0.020000,-1.460204,-2.910704,3.679149,2.378397,-0.794352,-6.096000,4.097251
0.020000,-1.488598,-2.948632,3.726534,2.360072,-0.916272,-6.096000,4.041902
0.020000,-1.518822,-2.984609,3.773528,2.339308,-1.038192,-6.096000,3.985218
0.020000,-1.550746,-3.018484,3.820082,2.316106,-1.160112,-6.096000,3.927908
0.020000,-1.584213,-3.050148,3.866160,2.291722,-1.219200,-2.954401,3.870704
0.020000,-1.619052,-3.079544,3.911751,2.267338,-1.219200,-0.000000,3.814291
0.020000,-1.655087,-3.106660,3.956854,2.242954,-1.219200,0.000000,3.759278
0.020000,-1.692130,-3.131517,4.001469,2.218570,-1.219200,0.000000,3.706178
0.020000,-1.729996,-3.154165,4.045596,2.194186,-1.219200,0.000000,3.655385
0.020000,-1.768508,-3.174683,4.089236,2.169802,-1.219200,0.000000,3.607172
0.020000,-1.807497,-3.193165,4.132389,2.145418,-1.219200,0.000000,3.561700
0.020000,-1.846815,-3.209722,4.175053,2.121034,-1.219200,-0.000000,3.519030
0.020000,-1.886325,-3.224472,4.217230,2.096650,-1.219200,0.000000,3.479144
0.020000,-1.925912,-3.237537,4.258919,2.072266,-1.219200,0.000000,3.441965
0.020000,-1.965473,-3.249038,4.300121,2.047882,-1.219200,0.000000,3.407375
0.020000,-2.004924,-3.259092,4.340834,2.023498,-1.219200,-0.000000,3.375231
0.020000,-2.044192,-3.267814,4.381060,1.999114,-1.219200,-0.000000,3.345375
0.020000,-2.083216,-3.275310,4.420799,1.974730,-1.219200,0.000000,3.317644
0.020000,-2.121945,-3.281680,4.460050,1.950346,-1.219200,0.000000,3.291878
0.020000,-2.160338,-3.287020,4.498813,1.925962,-1.219200,-0.000000,3.267922
0.020000,-2.198359,-3.291414,4.537088,1.901578,-1.219200,0.000000,3.245627
0.020000,-2.235981,-3.294944,4.574876,1.877194,-1.219200,0.000000,3.224857
0.020000,-2.273180,-3.297683,4.612176,1.852810,-1.219200,-0.000000,3.205484
0.020000,-2.309936,-3.299698,4.648988,1.828426,-1.219200,0.000000,3.187392
0.020000,-2.346235,-3.301051,4.685313,1.804042,-1.219200,0.000000,3.170474
0.020000,-2.382064,-3.301800,4.721150,1.779658,-1.219200,-0.000000,3.154632
0.020000,-2.417400,-3.302000,4.756499,1.755274,-1.219200,0.000000,3.141593
0.020000,-2.452262,-3.302000,4.791361,1.730890,-1.219200,0.000000,3.141593
0.020000,-2.486636,-3.302000,4.825735,1.706506,-1.219200,0.000000,3.141593
0.020000,-2.520522,-3.302000,4.859621,1.682122,-1.219200,0.000000,3.141593
0.020000,-2.553920,-3.302000,4.893020,1.657738,-1.219200,-0.000000,3.141593
0.020000,-2.586831,-3.302000,4.925930,1.633354,-1.219200,0.000000,3.141593
0.020000,-2.619255,-3.302000,4.958354,1.608970,-1.219200,-0.000000,3.141593
0.020000,-2.651190,-3.302000,4.990289,1.584586,-1.219200,0.000000,3.141593
0.020000,-2.682638,-3.302000,5.021737,1.560202,-1.219200,0.000000,3.141593
0.020000,-2.713598,-3.302000,5.052697,1.535818,-1.219200,0.000000,3.141593
0.020000,-2.744071,-3.302000,5.083170,1.511434,-1.219200,0.000000,3.141593
0.020000,-2.774055,-3.302000,5.113155,1.487050,-1.219200,-0.000000,3.141593
