dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000020,-0.000000,0.000024,0.002407,0.120343,6.017156,6.283185
0.020000,0.000117,-0.000000,0.000120,0.007221,0.240686,6.017156,6.283185
0.020000,0.000333,-0.000000,0.000337,0.014441,0.361029,6.017156,6.283185
0.020000,0.000718,-0.000000,0.000722,0.024069,0.481372,6.017156,6.283185
0.020000,0.001320,-0.000000,0.001324,0.036103,0.601716,6.017156,6.283185
0.020000,0.002186,-0.000000,0.002190,0.050544,0.722059,6.017156,6.283185
0.020000,0.003366,-0.000000,0.003370,0.067392,0.842402,6.017156,6.283185
0.020000,0.004906,-0.000000,0.004910,0.086647,0.962745,6.017156,6.283185
0.020000,0.006856,-0.000000,0.006860,0.108309,1.083088,6.017156,6.283185
0.020000,0.009263,-0.000000,0.009266,0.132377,1.203431,6.017156,6.283185
0.020000,0.012151,-0.000000,0.012155,0.156446,1.203431,0.000000,6.283185
0.020000,0.015520,-0.000000,0.015524,0.180515,1.203431,0.000000,6.283185
0.020000,0.019371,-0.000000,0.019375,0.204583,1.203431,0.000000,6.283185
0.020000,0.023704,-0.000000,0.023708,0.228652,1.203431,-0.000000,6.283185
0.020000,0.028518,-0.000000,0.028521,0.252721,1.203431,0.000000,6.283185
0.020000,0.033813,-0.000000,0.033816,0.276789,1.203431,0.000000,6.283185
0.020000,0.039589,-0.000000,0.039593,0.300858,1.203431,0.000000,0.000000
0.020000,0.045847,-0.000000,0.045851,0.324926,1.203431,0.000000,0.000000
0.020000,0.052586,-0.000000,0.052590,0.348995,1.203431,0.000000,0.000000
0.020000,0.059807,-0.000000,0.059811,0.373064,1.203431,0.000000,0.000000
0.020000,0.067509,-0.000000,0.067512,0.397132,1.203431,-0.000000,0.000000
0.020000,0.075692,0.000000,0.075696,0.421201,1.203431,0.000000,0.000000
0.020000,0.084357,0.000000,0.084361,0.445270,1.203431,0.000000,0.000000
0.020000,0.093503,0.000000,0.093507,0.469338,1.203431,0.000000,0.000000
0.020000,0.103130,0.000000,0.103134,0.493407,1.203431,0.000000,0.000000
0.020000,0.113239,0.000000,0.113243,0.517475,1.203431,0.000000,0.000000
0.020000,0.123829,0.000000,0.123833,0.541544,1.203431,0.000000,0.000000
0.020000,0.134901,0.000000,0.134905,0.565613,1.203431,-0.000000,0.000000
0.020000,0.146454,0.000000,0.146458,0.589681,1.203431,0.000000,0.000000
0.020000,0.158488,0.000000,0.158492,0.613750,1.203431,-0.000000,0.000000
0.020000,0.171004,0.000000,0.171008,0.637819,1.203431,0.000000,0.000000
0.020000,0.184001,0.000000,0.184005,0.661887,1.203431,-0.000000,0.000000
0.020000,0.197479,0.000000,0.197483,0.685956,1.203431,0.000000,0.000000
0.020000,0.211439,0.000000,0.211443,0.710024,1.203431,-0.000000,0.000000
0.020000,0.225880,0.000000,0.225884,0.734093,1.203431,0.000000,0.000000
0.020000,0.240803,0.000000,0.240807,0.758162,1.203431,-0.000000,0.000000
0.020000,0.256207,0.000000,0.256211,0.782230,1.203431,0.000000,0.000000
0.020000,0.272092,0.000000,0.272096,0.806299,1.203431,-0.000000,0.000000
0.020000,0.288459,0.000000,0.288462,0.830368,1.203431,0.000000,0.000000
0.020000,0.305307,0.000000,0.305310,0.854436,1.203431,-0.000000,0.000000
0.020000,0.322636,0.000000,0.322640,0.878505,1.203431,0.000000,0.000000
0.020000,0.340447,0.000000,0.340451,0.902573,1.203431,-0.000000,0.000000
0.020000,0.358739,0.000000,0.358743,0.926642,1.203431,0.000000,6.283185
0.020000,0.377513,0.000000,0.377516,0.950711,1.203431,-0.000000,6.283185
0.020000,0.396752,0.000317,0.396771,0.974779,1.203431,0.000000,0.040632
0.020000,0.416442,0.001642,0.416508,0.998848,1.203431,-0.000000,0.094190
0.020000,0.436504,0.004118,0.436725,1.022917,1.203431,0.000000,0.151774
0.020000,0.456857,0.007868,0.457424,1.046985,1.203431,-0.000000,0.212987
0.020000,0.477402,0.013004,0.478605,1.071054,1.203431,0.000000,0.277146
0.020000,0.498026,0.019616,0.500266,1.095122,1.203431,-0.000000,0.343269
0.020000,0.518612,0.027762,0.522409,1.119191,1.203431,-0.000000,0.410124
0.020000,0.539044,0.037467,0.545034,1.143260,1.203431,0.000000,0.476335
0.020000,0.559220,0.048720,0.568140,1.167328,1.203431,0.000000,0.540509
0.020000,0.579038,0.061460,0.591703,1.188990,1.083088,-6.017156,0.601322
0.020000,0.598406,0.075581,0.615675,1.208245,0.962745,-6.017156,0.657646
0.020000,0.617268,0.090950,0.640009,1.225093,0.842402,-6.017156,0.708681
0.020000,0.635602,0.107418,0.664655,1.239534,0.722059,-6.017156,0.753949
0.020000,0.653413,0.124832,0.689566,1.251568,0.601716,-6.017156,0.793242
0.020000,0.670730,0.143038,0.714694,1.261196,0.481372,-6.017156,0.826548
0.020000,0.687600,0.161887,0.739990,1.268416,0.361029,-6.017156,0.853983
0.020000,0.704079,0.181236,0.765406,1.273230,0.240686,-6.017156,0.875724
0.020000,0.720234,0.200951,0.790895,1.275637,0.120343,-6.017156,0.891971
0.020000,0.736126,0.220889,0.816391,1.273987,-0.082494,-10.141844,0.902906
0.020000,0.751815,0.240914,0.841830,1.269930,-0.202837,-6.017156,0.908690
0.020000,0.767373,0.260907,0.867164,1.263467,-0.323180,-6.017156,0.909457
0.020000,0.782872,0.280753,0.892345,1.254596,-0.443523,-6.017156,0.905294
0.020000,0.798376,0.300338,0.917324,1.243319,-0.563866,-6.017156,0.896247
0.020000,0.813947,0.319550,0.942054,1.229635,-0.684209,-6.017156,0.882326
0.020000,0.829638,0.338277,0.966485,1.213544,-0.804552,-6.017156,0.863523
0.020000,0.845496,0.356405,0.990571,1.195046,-0.924896,-6.017156,0.839825
0.020000,0.861554,0.373823,1.014263,1.174141,-1.045239,-6.017156,0.811243
