dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000304,0.060767,12.153427,0.000000
0.005000,0.000000,0.000000,0.000004,0.000912,0.121534,12.153427,0.000000
0.005000,0.000000,0.000000,0.000011,0.001823,0.182301,12.153427,0.000000
0.005000,0.000008,0.000000,0.000023,0.003038,0.243069,12.153427,0.000000
0.005000,0.000027,0.000000,0.000042,0.004558,0.303836,12.153427,0.000000
0.005000,0.000054,0.000000,0.000069,0.006381,0.364603,12.153427,0.000000
0.005000,0.000091,0.000000,0.000106,0.008507,0.425370,12.153427,0.000000
0.005000,0.000140,0.000000,0.000155,0.010938,0.486137,12.153427,0.000000
0.005000,0.000201,0.000000,0.000216,0.013673,0.546904,12.153427,0.000000
0.005000,0.000277,0.000000,0.000292,0.016711,0.607671,12.153427,0.000000
0.005000,0.000369,0.000000,0.000384,0.020053,0.668439,12.153427,0.000000
0.005000,0.000478,0.000000,0.000494,0.023699,0.729206,12.153427,0.000000
0.005000,0.000607,0.000000,0.000622,0.027649,0.789973,12.153427,0.000000
0.005000,0.000756,0.000000,0.000771,0.031903,0.850740,12.153427,0.000000
0.005000,0.000927,0.000000,0.000942,0.036460,0.911507,12.153427,0.000000
0.005000,0.001121,0.000000,0.001136,0.041322,0.972274,12.153427,0.000000
0.005000,0.001341,0.000000,0.001356,0.046487,1.033041,12.153427,0.000000
0.005000,0.001587,0.000000,0.001602,0.051956,1.093808,12.153427,0.000000
0.005000,0.001861,0.000000,0.001876,0.057729,1.154576,12.153427,0.000000
0.005000,0.002165,0.000000,0.002180,0.063805,1.215343,12.153427,0.000000
0.005000,0.002500,0.000000,0.002515,0.070186,1.276110,12.153427,0.000000
0.005000,0.002867,0.000000,0.002883,0.076870,1.336877,12.153427,0.000000
0.005000,0.003269,0.000000,0.003284,0.083859,1.397644,12.153427,0.000000
0.005000,0.003707,0.000000,0.003722,0.091151,1.458411,12.153427,0.000000
0.005000,0.004181,0.000000,0.004197,0.098747,1.519178,12.153427,0.000000
0.005000,0.004695,0.000000,0.004710,0.106646,1.579946,12.153427,0.000000
0.005000,0.005249,0.000000,0.005264,0.114850,1.640713,12.153427,0.000000
0.005000,0.005844,0.000000,0.005859,0.123357,1.701480,12.153427,0.000000
0.005000,0.006483,0.000000,0.006498,0.132169,1.762247,12.153427,0.000000
0.005000,0.007167,0.000000,0.007182,0.141284,1.823014,12.153427,0.000000
0.005000,0.007897,0.000000,0.007912,0.150702,1.883781,12.153427,0.000000
0.005000,0.008674,0.000000,0.008690,0.160425,1.944548,12.153427,0.000000
0.005000,0.009502,0.000000,0.009517,0.170452,2.005316,12.153427,0.000000
0.005000,0.010380,0.000000,0.010395,0.180782,2.066083,12.153427,0.000000
0.005000,0.011310,0.000000,0.011325,0.191416,2.126850,12.153427,0.000000
0.005000,0.012295,0.000000,0.012310,0.202355,2.187617,12.153427,0.000000
0.005000,0.013335,0.000000,0.013350,0.213596,2.248384,12.153427,0.000000
0.005000,0.014431,0.000000,0.014447,0.225142,2.309151,12.153427,0.000000
0.005000,0.015587,0.000000,0.015602,0.236992,2.369918,12.153427,0.000000
0.005000,0.016802,0.000000,0.016817,0.249145,2.430685,12.153427,0.000000
0.005000,0.018079,0.000000,0.018094,0.261603,2.491453,12.153427,0.000000
0.005000,0.019419,0.000000,0.019434,0.274364,2.552220,12.153427,0.000000
0.005000,0.020823,0.000000,0.020839,0.287429,2.612987,12.153427,0.000000
0.005000,0.022294,0.000000,0.022309,0.300797,2.673754,12.153427,0.000000
0.005000,0.023832,0.000000,0.023847,0.314470,2.734521,12.153427,0.000000
0.005000,0.025439,0.000000,0.025455,0.328446,2.795288,12.153427,0.000000
0.005000,0.027117,0.000000,0.027133,0.342727,2.856055,12.153427,0.000000
0.005000,0.028867,0.000000,0.028883,0.357311,2.916823,12.153427,0.000000
0.005000,0.030691,0.000000,0.030706,0.372199,2.977590,12.153427,0.000000
0.005000,0.032590,0.000000,0.032605,0.387390,3.038357,12.153427,0.000000
0.005000,0.034566,0.000000,0.034581,0.402886,3.099124,12.153427,0.000000
0.005000,0.036620,0.000000,0.036635,0.418686,3.159891,12.153427,0.000000
0.005000,0.038753,0.000000,0.038769,0.434789,3.220658,12.153427,0.000000
0.005000,0.040968,0.000000,0.040984,0.451196,3.281425,12.153427,0.000000
0.005000,0.043266,0.000000,0.043281,0.467907,3.342193,12.153427,0.000000
0.005000,0.045648,0.000000,0.045663,0.484922,3.402960,12.153427,0.000000
0.005000,0.048116,0.000000,0.048131,0.502240,3.463727,12.153427,0.000000
0.005000,0.050671,0.000000,0.050687,0.519863,3.524494,12.153427,0.000000
0.005000,0.053316,0.000000,0.053331,0.537789,3.585261,12.153427,0.000000
0.005000,0.056050,0.000000,0.056065,0.556019,3.646028,12.153427,0.000000
0.005000,0.058876,0.000000,0.058892,0.574553,3.706795,12.153427,0.000000
0.005000,0.061796,0.000000,0.061812,0.593391,3.767562,12.153427,0.000000
0.005000,0.064810,0.000000,0.064826,0.612229,3.767562,-0.000000,0.000000
0.005000,0.067919,0.000000,0.067934,0.631067,3.767562,0.000000,0.000000
0.005000,0.071121,0.000000,0.071136,0.649905,3.767562,-0.000000,0.000000
0.005000,0.074418,0.000000,0.074433,0.668742,3.767562,0.000000,0.000000
0.005000,0.077808,0.000000,0.077824,0.687580,3.767562,-0.000000,0.000000
0.005000,0.081293,0.000000,0.081309,0.706418,3.767562,0.000000,0.000000
0.005000,0.084873,0.000000,0.084888,0.725256,3.767562,0.000000,0.000000
0.005000,0.088546,0.000000,0.088561,0.744094,3.767562,-0.000000,0.000000
0.005000,0.092314,0.000000,0.092329,0.762931,3.767562,0.000000,0.000000
0.005000,0.096175,0.000000,0.096191,0.781769,3.767562,-0.000000,0.000000
0.005000,0.100131,0.000000,0.100147,0.800607,3.767562,0.000000,0.000000
0.005000,0.104181,0.000000,0.104197,0.819445,3.767562,-0.000000,0.000000
0.005000,0.108326,0.000000,0.108341,0.838283,3.767562,0.000000,0.000000
0.005000,0.112564,0.000000,0.112579,0.857120,3.767562,-0.000000,0.000000
0.005000,0.116897,0.000000,0.116912,0.875958,3.767562,0.000000,0.000000
0.005000,0.121324,0.000000,0.121339,0.894796,3.767562,-0.000000,0.000000
0.005000,0.125845,0.000000,0.125860,0.913634,3.767562,0.000000,0.000000
0.005000,0.130460,0.000000,0.130475,0.932472,3.767562,0.000000,0.000000
0.005000,0.135170,0.000000,0.135185,0.951310,3.767562,-0.000000,0.000000
0.005000,0.139973,0.000000,0.139988,0.970147,3.767562,0.000000,0.000000
0.005000,0.144871,0.000000,0.144886,0.988985,3.767562,-0.000000,0.000000
0.005000,0.149863,0.000000,0.149878,1.007823,3.767562,0.000000,0.000000
0.005000,0.154949,0.000000,0.154965,1.026661,3.767562,0.000000,0.000000
0.005000,0.160130,0.000000,0.160145,1.045499,3.767562,-0.000000,0.000000
0.005000,0.165404,0.000000,0.165420,1.064336,3.767562,-0.000000,0.000000
0.005000,0.170773,0.000000,0.170788,1.083174,3.767562,0.000000,0.000000
0.005000,0.176236,0.000000,0.176251,1.102012,3.767562,-0.000000,0.000000
0.005000,0.181793,0.000000,0.181808,1.120850,3.767562,0.000000,0.000000
0.005000,0.187445,0.000000,0.187460,1.139688,3.767562,0.000000,0.000000
0.005000,0.193190,0.000000,0.193205,1.158525,3.767562,0.000000,0.000000
0.005000,0.199030,0.000000,0.199045,1.177363,3.767562,-0.000000,0.000000
0.005000,0.204964,0.000000,0.204979,1.196201,3.767562,0.000000,0.000000
0.005000,0.210992,0.000000,0.211007,1.215039,3.767562,0.000000,0.000000
0.005000,0.217114,0.000000,0.217129,1.233877,3.767562,-0.000000,0.000000
0.005000,0.223331,0.000000,0.223346,1.252715,3.767562,0.000000,0.000000
0.005000,0.229641,0.000000,0.229656,1.271552,3.767562,0.000000,0.000000
0.005000,0.236046,0.000000,0.236061,1.290390,3.767562,0.000000,0.000000
0.005000,0.242545,0.000000,0.242560,1.309228,3.767562,-0.000000,0.000000
0.005000,0.249138,0.000000,0.249153,1.327762,3.706795,-12.153427,0.000000
0.005000,0.255822,0.000000,0.255837,1.345992,3.646028,-12.153427,0.000000
0.005000,0.262597,0.000000,0.262612,1.363918,3.585261,-12.153427,0.000000
0.005000,0.269460,0.000000,0.269476,1.381541,3.524494,-12.153427,0.000000
0.005000,0.276411,0.000000,0.276427,1.398859,3.463727,-12.153427,0.000000
0.005000,0.283448,0.000000,0.283463,1.415874,3.402960,-12.153427,0.000000
