dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000009,0.000000,0.000011,0.001142,0.057095,2.854741,0.000000
0.020000,0.000055,0.000000,0.000057,0.003426,0.114190,2.854741,0.000000
0.020000,0.000157,0.000000,0.000160,0.006851,0.171284,2.854741,0.000000
0.020000,0.000340,0.000000,0.000343,0.011419,0.228379,2.854741,0.000000
0.020000,0.000626,0.000000,0.000628,0.017128,0.285474,2.854741,0.000000
0.020000,0.001037,0.000000,0.001039,0.023980,0.342569,2.854741,0.000000
0.020000,0.001596,0.000000,0.001599,0.031973,0.399664,2.854741,0.000000
0.020000,0.002327,0.000000,0.002329,0.041108,0.456759,2.854741,0.000000
0.020000,0.003252,0.000000,0.003254,0.051385,0.513853,2.854741,0.000000
0.020000,0.004394,0.000000,0.004396,0.062804,0.570948,2.854741,0.000000
0.020000,0.005775,0.000000,0.005778,0.075365,0.628043,2.854741,0.000000
0.020000,0.007420,0.000000,0.007422,0.089068,0.685138,2.854741,0.000000
0.020000,0.009350,0.000000,0.009352,0.103913,0.742233,2.854741,0.000000
0.020000,0.011588,0.000000,0.011590,0.119899,0.799328,2.854741,0.000000
0.020000,0.014157,0.000000,0.014160,0.137028,0.856422,2.854741,0.000000
0.020000,0.017080,0.000000,0.017083,0.155298,0.913517,2.854741,0.000000
0.020000,0.020369,0.000000,0.020371,0.173568,0.913517,-0.000000,0.000000
0.020000,0.024023,0.000000,0.024026,0.191839,0.913517,0.000000,0.000000
0.020000,0.028042,0.000000,0.028045,0.210109,0.913517,0.000000,0.000000
0.020000,0.032427,0.000000,0.032430,0.228379,0.913517,-0.000000,0.000000
0.020000,0.037178,0.000000,0.037180,0.246650,0.913517,0.000000,0.000000
0.020000,0.042293,0.000000,0.042296,0.264920,0.913517,-0.000000,0.000000
0.020000,0.047774,0.000000,0.047777,0.283190,0.913517,0.000000,0.000000
0.020000,0.053621,0.000000,0.053623,0.301461,0.913517,0.000000,0.000000
0.020000,0.059833,0.000000,0.059835,0.319731,0.913517,-0.000000,0.000000
0.020000,0.066410,0.000000,0.066413,0.338001,0.913517,0.000000,0.000000
0.020000,0.073353,0.000000,0.073355,0.356272,0.913517,0.000000,0.000000
0.020000,0.080661,0.000000,0.080664,0.374542,0.913517,0.000000,0.000000
0.020000,0.088335,0.000000,0.088337,0.392812,0.913517,-0.000000,0.000000
