dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000020,-0.000000,0.000023,0.002270,0.113501,5.675072,6.283185
0.020000,0.000111,-0.000000,0.000114,0.006810,0.227003,5.675072,6.283185
0.020000,0.000315,-0.000000,0.000318,0.013620,0.340504,5.675072,6.283185
0.020000,0.000678,-0.000000,0.000681,0.022700,0.454006,5.675072,6.283185
0.020000,0.001246,-0.000000,0.001249,0.034050,0.567507,5.675072,6.283185
0.020000,0.002063,-0.000000,0.002066,0.047671,0.681009,5.675072,6.283185
0.020000,0.003176,-0.000000,0.003178,0.063561,0.794510,5.675072,6.283185
0.020000,0.004628,-0.000000,0.004631,0.081721,0.908012,5.675072,6.283185
0.020000,0.006467,-0.000000,0.006470,0.102151,1.021513,5.675072,6.283185
0.020000,0.008737,-0.000000,0.008740,0.124852,1.135014,5.675072,6.283185
0.020000,0.011484,-0.000000,0.011486,0.149822,1.248516,5.675072,6.283185
0.020000,0.014753,-0.000000,0.014755,0.177062,1.362017,5.675072,6.283185
0.020000,0.018589,-0.000000,0.018592,0.206573,1.475519,5.675072,6.283185
0.020000,0.023038,-0.000000,0.023041,0.238353,1.589020,5.675072,6.283185
0.020000,0.028146,-0.000000,0.028148,0.272403,1.702522,5.675072,0.000000
0.020000,0.033957,-0.000000,0.033960,0.308724,1.816023,5.675072,0.000000
0.020000,0.040495,-0.000000,0.040497,0.345044,1.816023,0.000000,0.000000
0.020000,0.047759,-0.000000,0.047761,0.381365,1.816023,-0.000000,0.000000
0.020000,0.055749,0.000000,0.055752,0.417685,1.816023,0.000000,0.000000
0.020000,0.064466,0.000000,0.064469,0.454006,1.816023,-0.000000,0.000000
0.020000,0.073910,0.000000,0.073912,0.490326,1.816023,0.000000,0.000000
0.020000,0.084079,0.000000,0.084082,0.526647,1.816023,0.000000,0.000000
0.020000,0.094975,0.000000,0.094978,0.562967,1.816023,0.000000,0.000000
0.020000,0.106598,0.000000,0.106601,0.599288,1.816023,-0.000000,0.000000
0.020000,0.118947,0.000000,0.118950,0.635608,1.816023,0.000000,0.000000
0.020000,0.132022,0.000000,0.132025,0.671929,1.816023,-0.000000,0.000000
0.020000,0.145824,0.000000,0.145827,0.708249,1.816023,0.000000,0.000000
0.020000,0.160352,0.000000,0.160355,0.744569,1.816023,0.000000,0.000000
0.020000,0.175607,0.000000,0.175609,0.780890,1.816023,-0.000000,0.000000
0.020000,0.191588,0.000000,0.191590,0.817210,1.816023,0.000000,0.000000
0.020000,0.208295,0.000000,0.208298,0.853531,1.816023,-0.000000,0.000000
0.020000,0.225729,0.000000,0.225732,0.889851,1.816023,0.000000,0.000000
0.020000,0.243889,0.000000,0.243892,0.926172,1.816023,0.000000,6.283185
0.020000,0.262736,-0.000028,0.262779,0.962492,1.816023,-0.000000,6.276861
0.020000,0.282347,-0.000295,0.282392,0.998813,1.816023,0.000000,6.262159
0.020000,0.302678,-0.000884,0.302731,1.035133,1.816023,0.000000,6.246136
