dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000022,0.000000,0.000024,0.002421,0.121057,6.052860,0.000000
0.020000,0.000119,0.000000,0.000121,0.007263,0.242114,6.052860,0.000000
0.020000,0.000336,0.000000,0.000339,0.014527,0.363172,6.052860,0.000000
0.020000,0.000724,0.000000,0.000726,0.024211,0.484229,6.052860,0.000000
0.020000,0.001329,0.000000,0.001332,0.036317,0.605286,6.052860,0.000000
0.020000,0.002201,0.000000,0.002203,0.050844,0.726343,6.052860,0.000000
0.020000,0.003387,0.000000,0.003390,0.067792,0.847400,6.052860,0.000000
0.020000,0.004937,0.000000,0.004939,0.087161,0.968458,6.052860,0.000000
0.020000,0.006898,0.000000,0.006900,0.108951,1.089515,6.052860,0.000000
0.020000,0.009319,0.000000,0.009321,0.133163,1.210572,6.052860,0.000000
0.020000,0.012224,0.000000,0.012227,0.157374,1.210572,0.000000,0.000000
0.020000,0.015614,0.000000,0.015616,0.181586,1.210572,-0.000000,0.000000
0.020000,0.019488,0.000000,0.019490,0.205797,1.210572,0.000000,0.000000
0.020000,0.023846,0.000000,0.023848,0.230009,1.210572,-0.000000,0.000000
0.020000,0.028688,0.000000,0.028691,0.254220,1.210572,0.000000,0.000000
0.020000,0.034015,0.000000,0.034017,0.278432,1.210572,0.000000,0.000000
0.020000,0.039825,0.000000,0.039828,0.302643,1.210572,-0.000000,0.000000
0.020000,0.046120,0.000000,0.046123,0.326854,1.210572,0.000000,0.000000
0.020000,0.052899,0.000000,0.052902,0.351066,1.210572,-0.000000,0.000000
0.020000,0.060163,0.000000,0.060165,0.375277,1.210572,0.000000,0.000000
0.020000,0.067911,0.000000,0.067913,0.399489,1.210572,-0.000000,0.000000
0.020000,0.076142,0.000000,0.076145,0.423700,1.210572,0.000000,0.000000
0.020000,0.084859,0.000000,0.084861,0.447912,1.210572,-0.000000,0.000000
0.020000,0.094059,0.000000,0.094061,0.472123,1.210572,0.000000,0.000000
0.020000,0.103743,0.000000,0.103746,0.496335,1.210572,-0.000000,0.000000
