dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000016,-0.000000,0.000023,0.002274,0.113720,5.685975,6.283185
0.020000,0.000107,-0.000000,0.000114,0.006823,0.227439,5.685975,6.283185
0.020000,0.000312,-0.000000,0.000318,0.013646,0.341159,5.685975,6.283185
0.020000,0.000676,-0.000000,0.000682,0.022744,0.454878,5.685975,6.283185
0.020000,0.001245,-0.000000,0.001251,0.034116,0.568598,5.685975,6.283185
0.020000,0.002063,-0.000000,0.002070,0.047762,0.682317,5.685975,6.283185
0.020000,0.003178,-0.000000,0.003184,0.063683,0.796037,5.685975,6.283185
0.020000,0.004633,-0.000000,0.004640,0.081878,0.909756,5.685975,6.283185
0.020000,0.006476,-0.000000,0.006482,0.102348,1.023476,5.685975,6.283185
0.020000,0.008750,-0.000000,0.008756,0.125091,1.137195,5.685975,6.283185
0.020000,0.011502,-0.000000,0.011508,0.150110,1.250915,5.685975,6.283185
0.020000,0.014777,-0.000000,0.014784,0.177402,1.364634,5.685975,6.283185
0.020000,0.018621,-0.000000,0.018627,0.206970,1.478354,5.685975,6.283185
0.020000,0.023079,-0.000000,0.023085,0.238811,1.592073,5.685975,6.283185
0.020000,0.028196,-0.000000,0.028202,0.272927,1.705793,5.685975,6.283185
0.020000,0.034019,-0.000000,0.034025,0.309317,1.819512,5.685975,6.283185
0.020000,0.040569,-0.000000,0.040575,0.345707,1.819512,0.000000,6.283185
0.020000,0.047847,-0.000000,0.047853,0.382098,1.819512,-0.000000,6.283185
0.020000,0.055853,-0.000000,0.055859,0.418488,1.819512,0.000000,6.283185
0.020000,0.064586,-0.000000,0.064593,0.454878,1.819512,-0.000000,0.000000
0.020000,0.074048,-0.000000,0.074054,0.491268,1.819512,0.000000,0.000000
0.020000,0.084237,-0.000000,0.084243,0.527659,1.819512,-0.000000,0.000000
0.020000,0.095154,-0.000000,0.095160,0.564049,1.819512,0.000000,0.000000
0.020000,0.106799,-0.000000,0.106805,0.600439,1.819512,0.000000,0.000000
0.020000,0.119172,-0.000000,0.119178,0.636829,1.819512,-0.000000,0.000000
0.020000,0.132272,0.000000,0.132279,0.673219,1.819512,0.000000,0.000000
0.020000,0.146100,0.000000,0.146107,0.709610,1.819512,0.000000,0.000000
0.020000,0.160657,0.000000,0.160663,0.746000,1.819512,0.000000,0.000000
0.020000,0.175940,0.000000,0.175947,0.782390,1.819512,-0.000000,0.000000
0.020000,0.191952,0.000000,0.191959,0.818780,1.819512,0.000000,0.000000
0.020000,0.208692,0.000000,0.208698,0.855171,1.819512,0.000000,0.000000
0.020000,0.226159,0.000000,0.226165,0.891561,1.819512,0.000000,0.000000
0.020000,0.244354,0.000000,0.244360,0.927951,1.819512,-0.000000,0.000000
0.020000,0.263277,0.000000,0.263283,0.964341,1.819512,0.000000,0.000000
0.020000,0.282928,0.000000,0.282934,1.000732,1.819512,0.000000,0.000000
0.020000,0.303306,0.000000,0.303313,1.037122,1.819512,-0.000000,0.000000
0.020000,0.324413,0.000000,0.324419,1.073512,1.819512,0.000000,0.000000
0.020000,0.346247,0.000000,0.346253,1.109902,1.819512,0.000000,0.000000
0.020000,0.368809,0.000000,0.368815,1.146293,1.819512,-0.000000,0.000000
0.020000,0.392099,0.000000,0.392105,1.182683,1.819512,0.000000,0.000000
0.020000,0.416116,0.000000,0.416122,1.219073,1.819512,-0.000000,0.000000
0.020000,0.440861,0.000000,0.440868,1.255463,1.819512,0.000000,0.000000
0.020000,0.466335,0.000000,0.466341,1.291854,1.819512,0.000000,0.000000
0.020000,0.492536,0.000000,0.492542,1.328244,1.819512,-0.000000,0.000000
0.020000,0.519464,0.000000,0.519471,1.364634,1.819512,0.000000,0.000000
0.020000,0.547121,0.000000,0.547127,1.401024,1.819512,0.000000,0.000000
0.020000,0.575505,0.000000,0.575512,1.437415,1.819512,-0.000000,0.000000
0.020000,0.604618,0.000000,0.604624,1.473805,1.819512,0.000000,6.283185
0.020000,0.634458,0.000000,0.634464,1.510195,1.819512,-0.000000,6.283185
0.020000,0.664984,0.000345,0.665032,1.546585,1.819512,0.000000,0.023271
0.020000,0.696258,0.001476,0.696327,1.582976,1.819512,0.000000,0.049362
0.020000,0.728216,0.003510,0.728351,1.619366,1.819512,-0.000000,0.078143
0.020000,0.760821,0.006579,0.761102,1.655756,1.819512,0.000000,0.109956
0.020000,0.794028,0.010830,0.794581,1.692146,1.819512,0.000000,0.145179
0.020000,0.827771,0.016429,0.828788,1.728537,1.819512,-0.000000,0.184223
0.020000,0.861967,0.023560,0.863722,1.764927,1.819512,0.000000,0.227511
0.020000,0.896507,0.032422,0.899385,1.801317,1.819512,-0.000000,0.275462
0.020000,0.931251,0.043231,0.935775,1.837707,1.819512,0.000000,0.328437
0.020000,0.966021,0.056208,0.972893,1.874097,1.819512,0.000000,0.386686
0.020000,1.000601,0.071573,1.010739,1.910488,1.819512,-0.000000,0.450254
0.020000,1.034732,0.089528,1.049313,1.946878,1.819512,0.000000,0.518889
0.020000,1.068123,0.110240,1.088614,1.983268,1.819512,0.000000,0.591948
0.020000,1.100459,0.133818,1.128643,2.019658,1.819512,0.000000,0.668349
0.020000,1.131425,0.160301,1.169400,2.056049,1.819512,-0.000000,0.746609
0.020000,1.160720,0.189628,1.210863,2.090165,1.705793,-5.685975,0.824930
0.020000,1.188083,0.221638,1.252984,2.122006,1.592073,-5.685975,0.901426
0.020000,1.213339,0.256101,1.295720,2.151573,1.478354,-5.685975,0.974411
0.020000,1.236403,0.292742,1.339024,2.178866,1.364634,-5.685975,1.042583
0.020000,1.257273,0.331274,1.382852,2.203884,1.250915,-5.685975,1.105098
0.020000,1.276018,0.371412,1.427157,2.226628,1.137195,-5.685975,1.161549
0.020000,1.292757,0.412894,1.471894,2.247097,1.023476,-5.685975,1.211882
0.020000,1.307642,0.455488,1.517018,2.265293,0.909756,-5.685975,1.256283
0.020000,1.320844,0.498991,1.562483,2.281213,0.796037,-5.685975,1.295086
0.020000,1.332540,0.543230,1.608244,2.294860,0.682317,-5.685975,1.328691
0.020000,1.342908,0.588056,1.654255,2.306232,0.568598,-5.685975,1.357514
0.020000,1.352122,0.633342,1.700471,2.315329,0.454878,-5.685975,1.381953
0.020000,1.360347,0.678981,1.746845,2.322152,0.341159,-5.685975,1.402369
0.020000,1.367743,0.724877,1.793334,2.326701,0.227439,-5.685975,1.419076
0.020000,1.374460,0.770939,1.839883,2.328236,0.076757,-7.534115,1.432339
0.020000,1.380639,0.817061,1.886418,2.325223,-0.150682,-11.371951,1.442372
0.020000,1.386416,0.863152,1.932869,2.319935,-0.264402,-5.685975,1.449351
0.020000,1.391924,0.909147,1.979193,2.312372,-0.378121,-5.685975,1.453412
0.020000,1.397290,0.954983,2.025342,2.302535,-0.491841,-5.685975,1.454651
0.020000,1.402637,1.000600,2.071271,2.290424,-0.605560,-5.685975,1.453124
0.020000,1.408084,1.045938,2.116936,2.276039,-0.719280,-5.685975,1.448851
0.020000,1.413749,1.090937,2.162290,2.259379,-0.832999,-5.685975,1.441814
0.020000,1.419745,1.135534,2.207288,2.240444,-0.946719,-5.685975,1.431966
0.020000,1.426187,1.179663,2.251885,2.219235,-1.060438,-5.685975,1.419225
0.020000,1.433185,1.223254,2.296035,2.195752,-1.174158,-5.685975,1.403480
0.020000,1.440849,1.266233,2.339692,2.169995,-1.287877,-5.685975,1.384592
0.020000,1.449288,1.308518,2.382812,2.141963,-1.401597,-5.685975,1.362400
0.020000,1.458608,1.350019,2.425348,2.111656,-1.515316,-5.685975,1.336727
0.020000,1.468910,1.390639,2.467255,2.079076,-1.629036,-5.685975,1.307388
0.020000,1.480290,1.430268,2.508488,2.044221,-1.742755,-5.685975,1.274206
0.020000,1.492835,1.468796,2.549009,2.007830,-1.819512,-3.837836,1.237025
0.020000,1.506629,1.506118,2.588802,1.971440,-1.819512,0.000000,1.195717
0.020000,1.521747,1.542135,2.627867,1.935050,-1.819512,0.000000,1.150207
0.020000,1.538248,1.576735,2.666204,1.898660,-1.819512,0.000000,1.100525
0.020000,1.556168,1.609796,2.703813,1.862269,-1.819512,-0.000000,1.046845
0.020000,1.575513,1.641191,2.740694,1.825879,-1.819512,0.000000,0.989520
0.020000,1.596255,1.670796,2.776848,1.789489,-1.819512,0.000000,0.929106
0.020000,1.618328,1.698497,2.812274,1.753099,-1.819512,-0.000000,0.866363
0.020000,1.641626,1.724202,2.846972,1.716708,-1.819512,0.000000,0.802217
0.020000,1.666008,1.747847,2.880942,1.680318,-1.819512,-0.000000,0.737695
0.020000,1.691305,1.769406,2.914185,1.643928,-1.819512,0.000000,0.673838
0.020000,1.717328,1.788890,2.946699,1.607538,-1.819512,0.000000,0.611607
0.020000,1.743885,1.806349,2.978486,1.571147,-1.819512,0.000000,0.551811
0.020000,1.770785,1.821868,3.009545,1.534757,-1.819512,0.000000,0.495057
0.020000,1.797848,1.835554,3.039877,1.498367,-1.819512,0.000000,0.441746
0.020000,1.824916,1.847535,3.069480,1.461977,-1.819512,-0.000000,0.392084
0.020000,1.851846,1.857946,3.098356,1.425586,-1.819512,0.000000,0.346116
0.020000,1.878521,1.866926,3.126503,1.389196,-1.819512,0.000000,0.303769
0.020000,1.904840,1.874612,3.153923,1.352806,-1.819512,-0.000000,0.264883
0.020000,1.930722,1.881135,3.180616,1.316416,-1.819512,0.000000,0.229251
0.020000,1.956099,1.886618,3.206580,1.280026,-1.819512,0.000000,0.196637
0.020000,1.980920,1.891175,3.231817,1.243635,-1.819512,-0.000000,0.166799
0.020000,2.005142,1.894910,3.256325,1.207245,-1.819512,0.000000,0.139496
0.020000,2.028731,1.897920,3.280106,1.170855,-1.819512,0.000000,0.114502
0.020000,2.051662,1.900289,3.303160,1.134465,-1.819512,-0.000000,0.091604
0.020000,2.073913,1.902095,3.325485,1.098074,-1.819512,0.000000,0.070607
0.020000,2.095471,1.903409,3.347083,1.061684,-1.819512,-0.000000,0.051335
0.020000,2.116321,1.904294,3.367952,1.025294,-1.819512,0.000000,0.033628
0.020000,2.136457,1.904806,3.388094,0.988904,-1.819512,0.000000,0.017344
0.020000,2.155870,1.904996,3.407509,0.952513,-1.819512,0.000000,0.002354
0.020000,2.174554,1.905000,3.426195,0.916123,-1.819512,0.000000,0.000000
0.020000,2.192512,1.905000,3.444154,0.879733,-1.819512,0.000000,0.000000
0.020000,2.209743,1.905000,3.461384,0.843343,-1.819512,-0.000000,0.000000
0.020000,2.226246,1.905000,3.477887,0.806952,-1.819512,0.000000,0.000000
0.020000,2.242021,1.905000,3.493662,0.770562,-1.819512,0.000000,0.000000
0.020000,2.257068,1.905000,3.508710,0.734172,-1.819512,0.000000,0.000000
0.020000,2.271388,1.905000,3.523029,0.697782,-1.819512,-0.000000,0.000000
0.020000,2.284980,1.905000,3.536621,0.661391,-1.819512,0.000000,0.000000
0.020000,2.297844,1.905000,3.549485,0.625001,-1.819512,0.000000,0.000000
0.020000,2.309980,1.905000,3.561621,0.588611,-1.819512,-0.000000,0.000000
0.020000,2.321388,1.905000,3.573029,0.552221,-1.819512,0.000000,0.000000
0.020000,2.332068,1.905000,3.583710,0.515830,-1.819512,-0.000000,0.000000
0.020000,2.342021,1.905000,3.593663,0.479440,-1.819512,0.000000,0.000000
0.020000,2.351246,1.905000,3.602887,0.443050,-1.819512,0.000000,0.000000
0.020000,2.359743,1.905000,3.611385,0.406660,-1.819512,0.000000,0.000000
0.020000,2.367512,1.905000,3.619154,0.370269,-1.819512,-0.000000,0.000000
0.020000,2.374554,1.905000,3.626195,0.333879,-1.819512,0.000000,0.000000
0.020000,2.380868,1.905000,3.632509,0.297489,-1.819512,-0.000000,0.000000
0.020000,2.386461,1.905000,3.638102,0.261838,-1.782549,1.848139,0.000000
0.020000,2.391364,1.905000,3.643005,0.228461,-1.668830,5.685975,0.000000
0.020000,2.395622,1.905000,3.647263,0.197359,-1.555110,5.685975,0.000000
0.020000,2.399281,1.905000,3.650922,0.168531,-1.441391,5.685975,0.000000
0.020000,2.402386,1.905000,3.654027,0.141978,-1.327671,5.685975,0.000000
0.020000,2.404983,1.905000,3.656624,0.117699,-1.213952,5.685975,0.000000
0.020000,2.407117,1.905000,3.658758,0.095694,-1.100232,5.685975,0.000000
0.020000,2.408833,1.905000,3.660475,0.075964,-0.986513,5.685975,0.000000
0.020000,2.410178,1.905000,3.661819,0.058508,-0.872793,5.685975,0.000000
0.020000,2.411196,1.905000,3.662838,0.043327,-0.759074,5.685975,0.000000
0.020000,2.411934,1.905000,3.663575,0.030420,-0.645354,5.685975,0.000000
0.020000,2.412436,1.905000,3.664077,0.019787,-0.531635,5.685975,0.000000
0.020000,2.412748,1.905000,3.664390,0.011429,-0.417915,5.685975,0.000000
0.020000,2.412916,1.905000,3.664557,0.005345,-0.304196,5.685975,0.000000
0.020000,2.412985,1.905000,3.664626,0.001535,-0.190476,5.685975,0.000000
0.020000,2.413000,1.905000,3.664641,0.000000,-0.076757,5.685975,0.000000
0.020000,2.413000,1.905000,3.664641,0.000000,0.000000,3.837836,0.000000
